Proteins	Accession-1	Common-Name	Genes of polypeptide, complex, or RNA	Locations	Gene
BSU12570-MONOMER		phage PBSX; prophage terminase (small subunit)	BSU12570		BSU12570
BSU08780-MONOMER		putative peptidase	BSU08780		BSU08780
BSU02680-MONOMER		transcriptional repressor of lmrAB and yxaGH operons (flavonoid and antibiotic resistance)	BSU02680		BSU02680
BSU20910-MONOMER		conserved protein of unknown function; phage SPbeta	BSU20910		BSU20910
BSU22520-MONOMER		sporulation septum-associated protein	BSU22520	CCI-PM-BAC-POS-GP	BSU22520
BSU38070-MONOMER		transcriptional antiterminator of sacAP expression	BSU38070		BSU38070
BSU19710-MONOMER		putative deacetylase	BSU19710		BSU19710
BSU14470-MONOMER		cell-shape determining protein	BSU14470	CCI-CYTOSOL-GP	BSU14470
BSU26170-MONOMER		putative phage head morphogenesis protein; skin element	BSU26170		BSU26170
BSU40358-MONOMER		hypothetical protein	BSU40358		BSU40358
BSU13330-MONOMER		conserved protein of unknown function	BSU13330		BSU13330
BSU24530-MONOMER		protein octanoyltransferase	BSU24530		BSU24530
BSU04180-MONOMER		putative methyltransferase	BSU04180		BSU04180
BSU23340-MONOMER		hypothetical protein	BSU23340		BSU23340
BSU27000-MONOMER		transcriptional regulator regulated by thiol-alkylation	BSU27000		BSU27000
BSU28160-MONOMER		negative effector of the concentration of glutamyl-tRNA reductase HemA	BSU28160	CCI-PM-BAC-POS-GP	BSU28160
BSU16120-MONOMER		DNA topoisomerase I	BSU16120		BSU16120
BSU04980-MONOMER		ICEBs1 mobile element: conserved protein of unknown function	BSU04980	CCI-PM-BAC-POS-GP	BSU04980
BSU16950-MONOMER		penicillin-binding endopeptidase X (lysozyme resistance)	BSU16950	CCI-PM-BAC-POS-GP	BSU16950
BSU06140-MONOMER		transcriptional regulator of the glucitol operon	BSU06140	CCI-CYTOSOL-GP	BSU06140
BSU29840-MONOMER		putative thiol-disulfide oxidoreductase with thioredoxin domain	BSU29840		BSU29840
BSU30670-MONOMER		S-ribosylhomocysteine lyase	BSU30670		BSU30670
BSU34230-MONOMER		UDP 2,6-dideoxy 2-acetamido 4-keto glucose aminotransferase	BSU34230		BSU34230
BSU00040-MONOMER		RecA filament-DNA complex stabilisation, ssDNA and dsDNA binding, ATP binding	BSU00040	CCI-BAC-NUCLEOID-GP // CCI-CYTOSOL-GP	BSU00040
BSU33420-MONOMER		Na+/H+ antiporter	BSU33420	CCI-PM-BAC-POS-GP	BSU33420
BSU08630-MONOMER		A/G-specific adenine glycosylase or DNA-(apurinic or apyrimidinic site) lyase	BSU08630		BSU08630
BSU02530-MONOMER		anti-TRAP regulator	BSU02530	CCI-CYTOSOL-GP	BSU02530
BSU31840-MONOMER		benzil reductase (benzoin forming)	BSU31840	CCI-CYTOSOL-GP	BSU31840
BSU07810-MONOMER		trehalose-6-phosphate hydrolase	BSU07810	CCI-CYTOSOL-GP	BSU07810
BSU37910-MONOMER		spore coat dTDP-glycosyltransferase	BSU37910		BSU37910
BSU19580-MONOMER		putative Na+/metabolite permease	BSU19580	CCI-PM-BAC-POS-GP	BSU19580
BSU35430-MONOMER		anti-sigma factor repressor of sigma(D)-dependent transcription	BSU35430		BSU35430
BSU01700-MONOMER		D-lactyl ether N-acetylmuramic-6-phosphate acid etherase	BSU01700		BSU01700
BSU28645-MONOMER		hypothetical protein	BSU28645		BSU28645
BSU13170-MONOMER		guanine deaminase	BSU13170		BSU13170
BSU09840-MONOMER		coproporphyrinogen III oxidase	BSU09840	CCI-CYTOSOL-GP	BSU09840
BSU37100-MONOMER		UDP-N-acetylglucosamine 1-carboxyvinyltransferase	BSU37100	CCI-CYTOSOL-GP	BSU37100
BSU23170-MONOMER		spore maturation protein	BSU23170	CCI-PM-BAC-POS-GP	BSU23170
BSU03710-MONOMER		spore germination receptor subunit	BSU03710	CCI-PM-BAC-POS-GP	BSU03710
BSU26840-MONOMER		RNA polymerase ECF(extracytoplasmic function)-type sigma factor (sigma-Z)	BSU26840		BSU26840
BSU18830-MONOMER		putative PEP-dependent enzyme	BSU18830		BSU18830
BSU04830-MONOMER		ICE<i>Bs1</i> excisionase	BSU04830		BSU04830
BSU16760-MONOMER		aspartokinase I (alpha and beta subunits)	BSU16760	CCI-CYTOSOL-GP	BSU16760
BSU39110-MONOMER		ATP-dependent RNA helicase for 23S ribosomal RNA maturation	BSU39110	CCI-RIBOSOME-GP // CCI-CYTOSOL-GP	BSU39110
BSU40690-MONOMER		putative integral membrane protein	BSU40690		BSU40690
BSU30510-MONOMER		phospholipase component of bacilysocin synthesis or export	BSU30510	CCI-PM-BAC-POS-GP	BSU30510
BSU34070-MONOMER		two-component sensor histidine kinase [YvfU]	BSU34070	CCI-PM-BAC-POS-GP	BSU34070
BSU20750-MONOMER		hypothetical protein; phage SPbeta	BSU20750		BSU20750
BSU12430-MONOMER		response regulator aspartate phosphatase	BSU12430		BSU12430
BSU08470-MONOMER		putative isomerase	BSU08470	CCI-CYTOSOL-GP	BSU08470
BSU02370-MONOMER		transcriptional regulator-GlcN6P (GntR family)	BSU02370		BSU02370
BSU14310-MONOMER		molybdopterin synthase (small subunit)	BSU14310		BSU14310
BSU22360-MONOMER		asparaginyl-tRNA synthetase	BSU22360	CCI-CYTOSOL-GP	BSU22360
BSU37750-MONOMER		putative efflux transporter	BSU37750	CCI-PM-BAC-POS-GP	BSU37750
BSU19430-MONOMER		spore diadenylate cyclase	BSU19430		BSU19430
BSU24370-MONOMER		stage III sporulation engulfment assembly protein	BSU24370	CCI-PM-BAC-POS-GP	BSU24370
BSU26000-MONOMER		conserved phage protein of unknown function; skin element	BSU26000		BSU26000
BSU22205-MONOMER		conserved protein of unknown function	BSU22205	CCI-PM-BAC-POS-GP	BSU22205
BSU13020-MONOMER		N(G),N(G)-dimethylarginine dimethylaminohydrolase	BSU13020		BSU13020
BSU28010-MONOMER		cell-shape determining protein	BSU28010	CCI-PM-BAC-POS-GP	BSU28010
BSU04030-MONOMER		putative hydroxyacyl-(acyl carrier protein) dehydratase	BSU04030		BSU04030
BSU22990-MONOMER		conserved protein of unknown function	BSU22990	CCI-PM-BAC-POS-GP	BSU22990
BSU26670-MONOMER		transcriptional regulator (LysR family)	BSU26670		BSU26670
BSU05970-MONOMER		transcription repressor of cydABCD and yjlC-ndh expression	BSU05970	CCI-CYTOSOL-GP	BSU05970
BSU15960-MONOMER		conserved exported protein of unknown function	BSU15960	CCI-EXTRACELLULAR-GP	BSU15960
BSU04670-MONOMER		component of the anxiosome (stressosome); positive regulation of sigma(B) activity in response to salt and heat stress	BSU04670		BSU04670
BSU16600-MONOMER		intrinsic transcription termination factor NusA	BSU16600	CCI-CYTOSOL-GP	BSU16600
BSU17980-MONOMER		small acid-soluble spore protein	BSU17980		BSU17980
BSU29670-MONOMER		tyrosyl-tRNA synthetase	BSU29670	CCI-CYTOSOL-GP	BSU29670
BSU30350-MONOMER		putative efflux transporter	BSU30350	CCI-PM-BAC-POS-GP	BSU30350
BSU33910-MONOMER		phosphoglycerate mutase	BSU33910	CCI-CYTOSOL-GP	BSU33910
BSU31680-MONOMER		ComA two-component response regulator	BSU31680	CCI-CYTOSOL-GP	BSU31680
BSU33260-MONOMER		ABC family transporter membrane protein YvrN	BSU33260	CCI-PM-BAC-POS-GP	BSU33260
BSU08300-MONOMER		two-component response regulator [YfiJ]	BSU08300	CCI-CYTOSOL-GP	BSU08300
BSU02210-MONOMER		putative permease	BSU02210	CCI-PM-BAC-POS-GP	BSU02210
BSU35280-MONOMER		putative integral inner membrane protein	BSU35280	CCI-PM-BAC-POS-GP	BSU35280
BSU07640-MONOMER		acylphosphatase	BSU07640		BSU07640
BSU37590-MONOMER		conserved protein of unknown function	BSU37590		BSU37590
BSU19270-MONOMER		conserved protein of unknown function (mother cell in sporulation)	BSU19270		BSU19270
BSU09670-MONOMER		D-alanine aminotransferase	BSU09670		BSU09670
BSU01540-MONOMER		phosphorylation-dependent (Y327) transcriptional regulator	BSU01540		BSU01540
BSU13545-MONOMER		hypothetical protein	BSU13545		BSU13545
BSU12860-MONOMER		serine / threonine exchanger	BSU12860	CCI-PM-BAC-POS-GP	BSU12860
BSU03550-MONOMER		putative permease	BSU03550	CCI-PM-BAC-POS-GP	BSU03550
BSU36940-MONOMER		manganese efflux pump	BSU36940	CCI-PM-BAC-POS-GP	BSU36940
BSU22849-MONOMER		conserved protein of unknown function	BSU22849		BSU22849
BSU26510-MONOMER		putative sulfur transferase / hydrolase	BSU26510		BSU26510
BSU38940-MONOMER		conserved protein of unknown function	BSU38940		BSU38940
BSU18680-MONOMER		conserved protein of unknown function	BSU18680		BSU18680
BSU04510-MONOMER		putative glyco-prenyl flippase subunit	BSU04510	CCI-PM-BAC-POS-GP	BSU04510
BSU16440-MONOMER		modulation of CheA activity in response to attractants (chemotaxis)	BSU16440	CCI-CYTOSOL-GP	BSU16440
BSU20590-MONOMER		putative endonuclease; phage SPbeta	BSU20590		BSU20590
BSU40530-MONOMER		spore coat protein	BSU40530		BSU40530
BSU30190-MONOMER		pimeloyl-[acp] synthase	BSU30190		BSU30190
BSU33750-MONOMER		export step of killing factor SdpC	BSU33750	CCI-CYTOSOL-GP	BSU33750
BSU14150-MONOMER		short-chain flavodoxin (acts in lipid desaturation)	BSU14150		BSU14150
BSU12270-MONOMER		conserved hypothetical protein; cupin family	BSU12270		BSU12270
BSU08140-MONOMER		putative integral inner membrane protein	BSU08140	CCI-PM-BAC-POS-GP	BSU08140
BSU02050-MONOMER		putative phage protein; prophage region 1	BSU02050		BSU02050
BSU24200-MONOMER		putative lipoprotein	BSU24200	CCI-PM-BAC-POS-GP	BSU24200
BSU22200-MONOMER		spore coat protein (inner)	BSU22200		BSU22200
BSU37430-MONOMER		putative integral membrane protein involved in subtilosin production and immunity	BSU37430	CCI-PM-BAC-POS-GP	BSU37430
BSU19120-MONOMER		transcriptional regulator (multiple metal-sensing ArsR-SmtB transcriptional repressor favouring Zn2+)	BSU19120	CCI-CYTOSOL-GP	BSU19120
BSU27850-MONOMER		quinolinate synthetase	BSU27850	CCI-CYTOSOL-GP	BSU27850
BSU25840-MONOMER		regulator peptide of the activity of phosphatase RapE; skin element	BSU25840		BSU25840
BSU41010-MONOMER		tRNA uridine 5-carboxymethylaminomethyl modification enzyme	BSU41010	CCI-CYTOSOL-GP	BSU41010
BSU12710-MONOMER		phage PBSX; conserved hypothetical protein	BSU12710		BSU12710
BSU05800-MONOMER		hypoxanthine efflux transporter	BSU05800	CCI-PM-BAC-POS-GP	BSU05800
BSU15790-MONOMER		ribulose-5-phosphate 3-epimerase	BSU15790	CCI-CYTOSOL-GP	BSU15790
BSU22690-MONOMER		chorismate mutase	BSU22690	CCI-CYTOSOL-GP	BSU22690
BSU26330-MONOMER		hypothetical protein; skin element	BSU26330		BSU26330
BSU17820-MONOMER		phage gamma-polyglutamate hydrolase	BSU17820	CCI-PM-BAC-POS-GP	BSU17820
BSU29510-MONOMER		conserved sporulation-related protein	BSU29510		BSU29510
BSU04359-MONOMER		putative membrane protein	BSU04359	CCI-PM-BAC-POS-GP	BSU04359
BSU16290-MONOMER		flagellar hook protein	BSU16290	CCO-CELL-PROJECTION	BSU16290
BSU31520-MONOMER		YufL two-component sensory histidine kinase	BSU31520	CCI-PM-BAC-POS-GP	BSU31520
BSU33120-MONOMER		modulator of liaIHGFSR (yvqIHGFEC) operon expression	BSU33120		BSU33120
BSU30010-MONOMER		putative ABC efflux transporter ATP-binding protein YthP	BSU30010		BSU30010
BSU33590-MONOMER		putative oxidoreductase	BSU33590		BSU33590
BSU35110-MONOMER		membrane associated phage-like stress regulator, nisin resistance	BSU35110	CCI-PM-BAC-POS-GP	BSU35110
BSU07460-MONOMER		putative efflux transporter	BSU07460	CCI-PM-BAC-POS-GP	BSU07460
BSU07990-MONOMER		putative beta-hydroxyacid dehydrogenase	BSU07990		BSU07990
BSU01889-MONOMER		putative transcriptional regulator (ArsR family); prophage 1 region	BSU01889		BSU01889
BSU09500-MONOMER		negative regulator of the activity of sigma-M	BSU09500	CCI-PM-BAC-POS-GP	BSU09500
BSU01389-MONOMER		putative ribosome binding protein	BSU01389		BSU01389
BSU37270-MONOMER		nitrate reductase (beta subunit)	BSU37270	CCI-PM-BAC-POS-GP	BSU37270
BSU18960-MONOMER		putative bacteriophage protein; putative defective prophage 6	BSU18960		BSU18960
BSU03390-MONOMER		conserved integral membrane protein of unknown function	BSU03390	CCI-PM-BAC-POS-GP	BSU03390
BSU36780-MONOMER		conserved protein of unknown function	BSU36780	CCI-PM-BAC-POS-GP	BSU36780
BSU40860-MONOMER		putative C-S lyase	BSU40860		BSU40860
BSU12580-MONOMER		phage PBSX; prophage terminase (large subunit)	BSU12580		BSU12580
BSU38780-MONOMER		putative membrane protease	BSU38780	CCI-PM-BAC-POS-GP	BSU38780
BSU18530-MONOMER		putative N-acetyltransferase	BSU18530	CCI-CYTOSOL-GP	BSU18530
BSU22530-MONOMER		conserved integral inner membrane protein of unknown function	BSU22530	CCI-PM-BAC-POS-GP	BSU22530
BSU26180-MONOMER		putative phage capsid protein; skin element	BSU26180		BSU26180
BSU20430-MONOMER		conserved protein of unknown function; phage SPbeta	BSU20430		BSU20430
BSU40380-MONOMER		regulator of WalRK	BSU40380	CCI-PM-BAC-POS-GP	BSU40380
BSU04190-MONOMER		putative dehydrogenase	BSU04190		BSU04190
BSU16130-MONOMER		tRNA:m<sup>5</sup>U-54 methyltransferase	BSU16130	CCI-CYTOSOL-GP	BSU16130
BSU14009-MONOMER		hypothetical protein	BSU14009		BSU14009
BSU12120-MONOMER		conserved hypothetical protein	BSU12120		BSU12120
BSU29850-MONOMER		putative enzyme with sugar binding fold	BSU29850		BSU29850
BSU33430-MONOMER		assimilatory sulfite reductase (hemoprotein beta-subunit)	BSU33430		BSU33430
BSU24040-MONOMER		branched-chain alpha-keto acid dehydrogenase E1 subunit	BSU24040		BSU24040
BSU22050-MONOMER		promiscuous alkylpyrone synthase BpsA (polyketide synthesis)	BSU22050		BSU22050
BSU07820-MONOMER		transcriptional regulator (TreR-trehalose)	BSU07820		BSU07820
BSU01710-MONOMER		putative acyltransferase	BSU01710		BSU01710
BSU27700-MONOMER		component of the preprotein translocase	BSU27700	CCI-PM-BAC-POS-GP	BSU27700
BSU25670-MONOMER		potassium-dependent GTPase involved in ribosome 30S assembly	BSU25670		BSU25670
BSU37110-MONOMER		transaldolase	BSU37110	CCI-CYTOSOL-GP	BSU37110
BSU18840-MONOMER		secreted endo-1,4-beta-xylanase	BSU18840		BSU18840
BSU05640-MONOMER		putative transcriptional regulator (MarR family)	BSU05640		BSU05640
BSU15630-MONOMER		precorrin-2 dehydrogenase	BSU15630		BSU15630
BSU40700-MONOMER		putative hydrolase	BSU40700		BSU40700
BSU12440-MONOMER		secreted inhibitor of the activity of phosphatase RapA (quorum sensing)	BSU12440		BSU12440
BSU17670-MONOMER		spore coat protein	BSU17670		BSU17670
CPLX8J2-109		PadR-ferulate	BSU08340		
BSU29350-MONOMER		S-alkyl cysteine ABC transporter membrane subunit TcyM	BSU29350	CCI-PM-BAC-POS-GP	BSU29350
BSU22370-MONOMER		anabolic oxaloacetate / glutamate aminotransferase	BSU22370	CCI-CYTOSOL-GP	BSU22370
BSU26010-MONOMER		conserved phage protein of unknown function; skin element	BSU26010		BSU26010
BSU31360-MONOMER		NADH-dependent butanol dehydrogenase subunit	BSU31360	CCI-CYTOSOL-GP	BSU31360
CPLX8J2-99		NagR-<i>N</i>-acetyl-D-glucosamine-6-phosphate	BSU35030		
BSU32980-MONOMER		putative short-chain acyl dehydrogenase	BSU32980		BSU32980
BSU04039-MONOMER		conserved protein of unknown function	BSU04039		BSU04039
BSU15970-MONOMER		component of the signal recognition particle (SRP) protein-targeting pathway	BSU15970		BSU15970
BSU34950-MONOMER		secreted pectate (polygalacturonate) lyase	BSU34950	CCI-EXTRACELLULAR-GP	BSU34950
CPLX8J2-160		RhaR-L-rhamnulose 1-phosphate	BSU31210		
BSU07300-MONOMER		putative glycosyltransferase (complex carbohydrate synthase)	BSU07300		BSU07300
BSU29680-MONOMER		acetyl-CoA synthetase	BSU29680		BSU29680
BSU33270-MONOMER		ABC family transporter ATP-binding protein YvrO	BSU33270	CCI-PM-BAC-POS-GP	BSU33270
BSU09340-MONOMER		oxidoreductase, NAD(P)H-FMN and ferric iron reductase (azoreductase)	BSU09340	CCI-CYTOSOL-GP	BSU09340
CPLX8J2-114		Zur-Zinc	BSU25100		
BSU01230-MONOMER		ribosomal protein L16	BSU01230	CCI-RIBOSOME-GP	BSU01230
BSU07650-MONOMER		putative sulfur carrier	BSU07650		BSU07650
BSU01550-MONOMER		lipoprotein factor mediating clustering of germination proteins	BSU01550	CCI-CW-BAC-POS-GP // CCI-PM-BAC-POS-GP	BSU01550
BSU03240-MONOMER		conserved protein of unknown function	BSU03240	CCI-PM-BAC-POS-GP	BSU03240
CPLX8J2-198		DeoR-deoxyribose 5-phosphate	BSU39430		
BSU36620-MONOMER		putative oxidoreductase	BSU36620		BSU36620
BSU36950-MONOMER		tRNA(NNU) t(6)A37 threonylcarbamoyladenosine modification; threonine-dependent ADP-forming ATPase	BSU36950	CCI-CYTOSOL-GP	BSU36950
BSU18690-MONOMER		conserved hypothetical protein	BSU18690		BSU18690
BSU38620-MONOMER		3-alkylated purines and hypoxanthine DNA glycosidase	BSU38620		BSU38620
CPLX8J2-115		PutR-Pro	BSU03230		
BSU18370-MONOMER		putative Na+-driven efflux transporter	BSU18370	CCI-PM-BAC-POS-GP	BSU18370
BSU40540-MONOMER		hypochloric acid-specific transcriptional regulator	BSU40540		BSU40540
BSU12280-MONOMER		conserved hypothetical protein	BSU12280		BSU12280
BSU20270-MONOMER		putative 5'(3')-deoxyribonucleotidase; phage SPbeta	BSU20270		BSU20270
CPLX8J2-63		TRAP-trp	BSU22770		
BSU11020-MONOMER		putative RNA or cyclic d-GMP binding protein	BSU11020	CCI-CYTOSOL-GP	BSU11020
BSU22210-MONOMER		metal-dependent exonuclease	BSU22210		BSU22210
BSU25850-MONOMER		hypothetical protein; skin element	BSU25850		BSU25850
MONOMER8J2-7		spore and germination protein	G8J2-7	CCI-PM-BAC-POS-GP	G8J2-7
CPLX8J2-129		CsoR-Cu(II)	BSU33520		
BSU40239-MONOMER		conserved hypothetical protein	BSU40239		BSU40239
MONOMER8J2-15		ResD two-component response regulator, phosphorylated	BSU23120	CCI-CYTOSOL-GP	BSU23120
BSU15800-MONOMER		thiamine pyrophosphokinase	BSU15800		BSU15800
BSU29520-MONOMER		inhibitor of SppA protease activity	BSU29520	CCI-PM-BAC-POS-GP	BSU29520
MONOMER8J2-31		DegU two-component response regulator, phosphorylated	BSU35490	CCI-CYTOSOL-GP	BSU35490
BSU13850-MONOMER		Fe(II) efflux transporter possibly involved in copper(II) uptake	BSU13850	CCI-PM-BAC-POS-GP	BSU13850
BSU11970-MONOMER		conserved hypothetical protein; phage island	BSU11970		BSU11970
MONOMER8J2-28		NatK two-component sensory histidine kinase, phosphorylated	BSU02730	CCO-CE-BAC	BSU02730
BSU33130-MONOMER		membrane anchor for the phage-shock protein A homolog LiaH	BSU33130	CCI-PM-BAC-POS-GP	BSU33130
BSU07480-MONOMER		putative enzyme	BSU07480		BSU07480
MONOMER8J2-133		PsdS-<i>N</i>-phospho-L-histidine	BSU34710	CCI-PM-BAC-POS-GP	BSU34710
BSU23880-MONOMER		sensor of SpoIIIJ activity	BSU23880	CCI-PM-BAC-POS-GP	BSU23880
BSU40210-MONOMER		conserved hypothetical protein	BSU40210		BSU40210
MONOMER8J2-9		PhoP two-component response regulator, phosphorylated	BSU29110	CCI-CYTOSOL-GP	BSU29110
BSU01390-MONOMER		initiation factor IF-I	BSU01390	CCI-CYTOSOL-GP	BSU01390
BSU36790-MONOMER		conserved protein of unknown function	BSU36790		BSU36790
MONOMER8J2-25		YufM two-component response regulator, phosphorylated	BSU31530	CCI-CYTOSOL-GP	BSU31530
BSU27540-MONOMER		2-methylthio-N<sup>6</sup>-threonylcarbamoyladenosine cyclase	BSU27540		BSU27540
BSU11940-MONOMER		conserved hypothetical protein: phage island	BSU11940	CCI-PM-BAC-POS-GP	BSU11940
MONOMER8J2-11		ComA two-component response regulator, phosphorylated	BSU31680	CCI-CYTOSOL-GP	BSU31680
BSU18540-MONOMER		negatively charged metabolite transporter	BSU18540	CCI-PM-BAC-POS-GP	BSU18540
BSU40390-MONOMER		regulator of WalRK	BSU40390	CCI-PM-BAC-POS-GP	BSU40390
MONOMER8J2-41		GlnL two-component response regulator, phosphorylated	BSU02450	CCI-CYTOSOL-GP	BSU02450
BSU05490-MONOMER		putative dioxygenase	BSU05490	CCI-CYTOSOL-GP	BSU05490
BSU21870-MONOMER		dihydroxy-acid dehydratase	BSU21870	CCI-CYTOSOL-GP	BSU21870
MONOMER8J2-22		CitS two-component sensory histidine kinase, phosphorylated	BSU07580	CCO-CE-BAC	BSU07580
BSU12130-MONOMER		conserved hypothetical protein	BSU12130		BSU12130
BSU22060-MONOMER		xanthine permease	BSU22060	CCI-PM-BAC-POS-GP	BSU22060
MONOMER8J2-38		DctS two-component sensory histidine kinase, phosphorylated	BSU04450	CCO-CE-BAC	BSU04450
BSU17520-MONOMER		putative N-acetyltransferase; putative phage region	BSU17520		BSU17520
BSU25490-MONOMER		transcriptional regulator of heat-shock genes	BSU25490		BSU25490
MONOMER8J2-19		BceR two-component response regulator, phosphorylated	BSU30400	CCI-CYTOSOL-GP	BSU30400
BSU25680-MONOMER		phosphatase (active on GMP and Glc-6-P)	BSU25680		BSU25680
BSU15640-MONOMER		ribosome-associated quality control protein	BSU15640		BSU15640
MONOMER8J2-35		LiaR two-component response regulator, phosphorylated	BSU33080	CCI-CYTOSOL-GP	BSU33080
BSU31230-MONOMER		methyl-accepting chemotaxis protein	BSU31230	CCI-PM-BAC-POS-GP	BSU31230
BSU15440-MONOMER		sporulation-related RNA polymerase-binding factor	BSU15440		BSU15440
MONOMER8J2-16		WalK two-component sensory histidine kinase, phosphorylated	BSU40400	CCO-CE-BAC	BSU40400
BSU29360-MONOMER		S-alkyl cysteine ABC transporter membrane subunit TcyL	BSU29360	CCI-PM-BAC-POS-GP	BSU29360
BSU32990-MONOMER		metalloregulation DNA-binding stress protein	BSU32990		BSU32990
MONOMER8J2-32		DesK two-component sensory histidine kinase, phosphorylated	BSU19190	CCO-CE-BAC	BSU19190
BSU34790-MONOMER		thioredoxin reductase	BSU34790	CCI-CYTOSOL-GP	BSU34790
BSU29180-MONOMER		pyruvate kinase	BSU29180	CCI-CYTOSOL-GP	BSU29180
MONOMER8J2-134		PsdR-phosphoaspartate	BSU34720	CCI-CYTOSOL-GP	BSU34720
BSU07310-MONOMER		putative glycosyltransferase (complex carbohydrate synthase)	BSU07310		BSU07310
BSU01240-MONOMER		ribosomal protein L29	BSU01240	CCI-RIBOSOME-GP	BSU01240
MONOMER8J2-29		NatR two-component response regulator, phosphorylated	BSU02740	CCI-CYTOSOL-GP	BSU02740
BSU09180-MONOMER		putative spore coat protein	BSU09180		BSU09180
BSU32790-MONOMER		conserved protein of unknown function	BSU32790		BSU32790
MONOMER8J2-26		LytS two-component sensory histidine kinase, phosphorylated	BSU28930	CCO-CE-BAC	BSU28930
BSU36630-MONOMER		putative transcriptional regulator	BSU36630	CCI-CYTOSOL-GP	BSU36630
BSU18380-MONOMER		inhibitor of DL-endopeptidases involved in cell-separation	BSU18380		BSU18380
MONOMER8J2-12		CssS two-component sensory histidine kinase, phosphorylated	BSU33020	CCO-CE-BAC	BSU33020
