Transcription-Units	Genes of transcription unit	Direction
TU1G01-6242	G1G01-5381	+
TU1G01-2872	G1G01-2685	+
TU1G01-1040	G1G01-981 // G1G01-980	-
TU1G01-1828	G1G01-1734	+
TU1G01-3540	G1G01-3324	+
TU1G01-4202	G1G01-3920	+
TU1G01-7220	G1G01-1094	-
TU1G01-2496	G1G01-2341 // G1G01-2340	+
TU1G01-4876	G1G01-4610 // G1G01-4609	-
TU1G01-5552	G1G01-5236 // G1G01-5235	-
TU1G01-6214	G1G01-5489	+
TU1G01-2842	G1G01-2664	-
TU1G01-1012	G1G01-952	-
TU1G01-180	G1G01-153	-
TU1G01-3512	G1G01-3301	-
TU1G01-4176	G1G01-3897	-
TU1G01-7194	G1G01-1163	+
TU1G01-2466	G1G01-2315	-
TU1G01-4846	G1G01-4579	+
TU1G01-5522	G1G01-5209 // G1G01-5208	+
TU1G01-6186	G1G01-5552	-
TU1G01-2814	G1G01-2643 // G1G01-2642 // G1G01-2641 // G1G01-2640	+
TU1G01-1772	G1G01-1686	-
TU1G01-3482	G1G01-3265	-
TU1G01-4146	G1G01-3877	-
TU1G01-7164	G1G01-1340	-
TU1G01-2436	G1G01-2291	+
TU1G01-4814	G1G01-4547 // G1G01-4546	+
TU1G01-5492	G1G01-5179	+
TU1G01-6152	G1G01-5630	-
TU1G01-2780	G1G01-2608	+
TU1G01-1738	G1G01-1641 // G1G01-1640	-
TU1G01-3448	G1G01-3221	-
TU1G01-4112	G1G01-3842	+
TU1G01-7130	G1G01-1485	-
TU1G01-2400	G1G01-2261	-
TU1G01-4780	G1G01-4515	+
TU1G01-5458	G1G01-5150 // G1G01-5149	+
TU1G01-6122	G1G01-5719	-
TU1G01-1708	G1G01-1610 // G1G01-1609	-
TU1G01-342	G1G01-304	+
TU1G01-4082	G1G01-3816	+
TU1G01-7100	G1G01-1729	-
TU1G01-2374	G1G01-2245 // G1G01-2244 // G1G01-2243	-
TU1G01-4752	G1G01-4485 // G1G01-4484 // G1G01-4483 // G1G01-4482	+
TU1G01-5428	G1G01-5117	-
TU1G01-6094	G1G01-5773	+
TU1G01-168	G1G01-143 // G1G01-142	+
TU1G01-3390	G1G01-3170	-
TU1G01-7072	G1G01-1845	-
TU1G01-2344	G1G01-2220	+
TU1G01-406	G1G01-367	+
TU1G01-4722	G1G01-4447 // G1G01-4446	-
TU1G01-540	G1G01-495 // G1G01-494	+
TU1G01-6064	G1G01-5737 // G1G01-5736 // G1G01-5735 // G1G01-5734 // G1G01-5733	-
TU1G01-1650	G1G01-1558	+
TU1G01-3360	G1G01-3140 // G1G01-3139	-
TU1G01-7042	G1G01-1932	+
TU1G01-2316	G1G01-2197	-
TU1G01-4030	G1G01-3780	+
TU1G01-4694	G1G01-4411	+
TU1G01-974	G1G01-909	+
TU1G01-5378	G1G01-5081 // G1G01-5080	-
TU1G01-6036	G1G01-5694	+
TU1G01-1620	G1G01-1535	-
TU1G01-3332	G1G01-3118 // G1G01-3117	-
TU1G01-7014	G1G01-1982	-
TU1G01-2286	G1G01-2171 // G1G01-2170	-
TU1G01-4000	G1G01-3756	+
TU1G01-4664	G1G01-4377	+
TU1G01-944	G1G01-882	-
TU1G01-5344	G1G01-5052	-
TU1G01-6006	G1G01-5676	+
TU1G01-1594	G1G01-1513 // G1G01-1512	+
TU1G01-6670	G1G01-3738	-
TU1G01-3302	G1G01-3091	+
TU1G01-6986	G1G01-2212	+
TU1G01-2258	G1G01-2137	+
TU1G01-3976	G1G01-3736	+
TU1G01-4636	G1G01-4354	+
TU1G01-916	G1G01-857	+
TU1G01-5316	G1G01-5022	+
TU1G01-5980	G1G01-5654	-
TU1G01-1564	G1G01-1490	-
TU1G01-6640	G1G01-3847	-
TU1G01-3274	G1G01-3071	+
TU1G01-6958	G1G01-2311	+
TU1G01-2228	G1G01-2113	+
TU1G01-3946	G1G01-3702 // G1G01-3701 // G1G01-3700 // G1G01-3699	-
TU1G01-4606	G1G01-4322	+
TU1G01-886	G1G01-835	+
TU1G01-5286	G1G01-4994 // G1G01-4993	-
TU1G01-5952	G1G01-5627	-
TU1G01-1536	G1G01-1461	-
TU1G01-6612	G1G01-3910	-
TU1G01-3244	G1G01-3048 // G1G01-3047	-
TU1G01-142	G1G01-121	-
TU1G01-6928	G1G01-2405	-
TU1G01-220	G1G01-182 // G1G01-181	-
TU1G01-3918	G1G01-3675	-
TU1G01-4578	G1G01-4297	+
TU1G01-858	G1G01-804 // G1G01-803 // G1G01-802 // G1G01-801	-
TU1G01-5258	G1G01-4970	+
TU1G01-5922	G1G01-5606	+
TU1G01-1506	G1G01-1439 // G1G01-1438 // G1G01-1437	-
TU1G01-6584	G1G01-4004	-
TU1G01-3216	G1G01-3021	+
TU1G01-1392	G1G01-1309 // G1G01-1308	+
TU1G01-690	G1G01-669	+
TU1G01-2172	G1G01-2067 // G1G01-2066 // G1G01-2065	+
TU1G01-3888	G1G01-3651	+
TU1G01-4546	G1G01-4274	+
TU1G01-828	G1G01-775	+
TU1G01-5228	G1G01-4940	+
TU1G01-5892	G1G01-5583	-
TU1G01-1478	G1G01-1400	-
TU1G01-6556	G1G01-4097	-
TU1G01-3188	G1G01-2993 // G1G01-2992 // G1G01-2991 // G1G01-2990	+
TU1G01-1362	G1G01-1279	-
TU1G01-6870	G1G01-2632	+
TU1G01-2142	G1G01-2036	-
TU1G01-386	G1G01-343 // G1G01-342	+
TU1G01-4516	G1G01-4241	+
TU1G01-80	G1G01-60	+
TU1G01-520	G1G01-474	+
TU1G01-5862	G1G01-5542	-
TU1G01-6526	G1G01-4200	-
TU1G01-316	G1G01-277	-
TU1G01-1334	G1G01-1261	-
TU1G01-6840	G1G01-2748	+
TU1G01-2114	G1G01-2004	+
TU1G01-3830	G1G01-3600	+
TU1G01-4486	G1G01-4217 // G1G01-4216	+
TU1G01-772	G1G01-740 // G1G01-739	+
TU1G01-5172	G1G01-4879	-
TU1G01-5834	G1G01-5524 // G1G01-5523 // G1G01-5522	-
TU1G01-6498	G1G01-4361	-
TU1G01-3130	G1G01-2931 // G1G01-2930 // G1G01-2929 // G1G01-2928 // G1G01-2927	+
TU1G01-1304	G1G01-1238	+
TU1G01-6812	G1G01-2905	+
TU1G01-2084	G1G01-1975	-
TU1G01-3800	G1G01-3568	-
TU1G01-4458	G1G01-4196	+
TU1G01-7456	G1G01-122	-
TU1G01-2750	G1G01-2585	-
TU1G01-5142	G1G01-4849 // G1G01-4848 // G1G01-4847	+
TU1G01-5804	G1G01-5486	-
TU1G01-6468	G1G01-4472	+
TU1G01-3100	G1G01-2902	-
TU1G01-1276	G1G01-1222	-
TU1G01-6784	G1G01-3105	+
TU1G01-2056	G1G01-1952	+
TU1G01-3774	G1G01-3545	-
TU1G01-4428	G1G01-4164 // G1G01-4163	-
TU1G01-7440	G1G01-957 // G1G01-956 // G1G01-955 // G1G01-954 // G1G01-953 // G1G01-960 // G1G01-959 // G1G01-958	-
TU1G01-2720	G1G01-2556	+
TU1G01-5114	G1G01-4824	-
TU1G01-5778	G1G01-5461	+
TU1G01-644	G1G01-624	-
TU1G01-3070	G1G01-2865	+
TU1G01-1244	G1G01-1190	-
TU1G01-6756	G1G01-3212	+
TU1G01-2026	G1G01-1931	-
TU1G01-3744	G1G01-3521 // G1G01-3520	+
TU1G01-440	G1G01-402	+
TU1G01-7418	G1G01-88	+
TU1G01-2692	G1G01-2529 // G1G01-2528	-
TU1G01-5084	G1G01-4798	-
TU1G01-5748	G1G01-5420 // G1G01-5419	-
TU1G01-6410	G1G01-4797	+
TU1G01-304	G1G01-267 // G1G01-266	-
TU1G01-1216	G1G01-1169 // G1G01-1168 // G1G01-1167 // G1G01-1166 // G1G01-1165	-
TU1G01-6726	G1G01-3456	-
TU1G01-20	G1G01-17	+
TU1G01-3716	G1G01-3475	+
TU1G01-4372	G1G01-4096	+
TU1G01-7390	G1G01-211	+
TU1G01-2662	G1G01-2490	-
TU1G01-5056	G1G01-4758	-
TU1G01-572	G1G01-547	-
TU1G01-6382	G1G01-4851	-
TU1G01-3010	G1G01-2819 // G1G01-2818 // G1G01-2817 // G1G01-2816 // G1G01-2815 // G1G01-2814 // G1G01-2813 // G1G01-2812 // G1G01-2811	+
TU1G01-1182	G1G01-1134	-
TU1G01-6698	G1G01-3574	-
TU1G01-1968	G1G01-1866 // G1G01-1865	-
TU1G01-3686	G1G01-3451 // G1G01-3450	+
TU1G01-4342	G1G01-4075 // G1G01-4074 // G1G01-4073 // G1G01-4072	+
TU1G01-7360	G1G01-313	-
TU1G01-2634	G1G01-2470	-
TU1G01-5026	G1G01-4736 // G1G01-4735	-
TU1G01-5690	G1G01-5369	-
TU1G01-6354	G1G01-4909	+
TU1G01-2982	G1G01-2778 // G1G01-2777 // G1G01-2776 // G1G01-2775 // G1G01-2774 // G1G01-2773 // G1G01-2772	-
TU1G01-1154	G1G01-1098	-
TU1G01-194	G1G01-165	-
TU1G01-3658	G1G01-3420	+
TU1G01-4314	G1G01-4032 // G1G01-4031 // G1G01-4030 // G1G01-4029	-
TU1G01-7332	G1G01-406	-
TU1G01-2604	G1G01-2452	+
TU1G01-50	G1G01-40	+
TU1G01-5660	G1G01-5341 // G1G01-5340	+
TU1G01-6324	G1G01-4975	+
TU1G01-2954	G1G01-2747	-
TU1G01-1122	G1G01-1066 // G1G01-1065 // G1G01-1064	-
TU1G01-1910	G1G01-1816	+
TU1G01-3626	G1G01-3396	-
TU1G01-4284	G1G01-4001 // G1G01-4000 // G1G01-3999 // G1G01-3998	+
TU1G01-7302	G1G01-574	-
TU1G01-2578	G1G01-2420 // G1G01-2419 // G1G01-2418	+
TU1G01-4970	G1G01-4697	+
TU1G01-5632	G1G01-5321 // G1G01-5320	+
TU1G01-6296	G1G01-5088	+
TU1G01-2924	G1G01-2723	-
TU1G01-1094	G1G01-1038 // G1G01-1037	+
TU1G01-1880	G1G01-1790	+
TU1G01-36	G1G01-27	+
TU1G01-4256	G1G01-3964	-
TU1G01-7274	G1G01-771	-
TU1G01-2548	G1G01-2390	-
TU1G01-4940	G1G01-4675	+
TU1G01-5602	G1G01-5288	-
TU1G01-6266	G1G01-5266	+
TU1G01-2896	G1G01-2703	+
TU1G01-1064	G1G01-1000	+
TU1G01-1852	G1G01-1760	-
TU1G01-3564	G1G01-3346 // G1G01-3345 // G1G01-3344 // G1G01-3343	+
TU1G01-4226	G1G01-3935	-
TU1G01-7244	G1G01-939	-
TU1G01-252	G1G01-215	+
TU1G01-4900	G1G01-4642 // G1G01-4641	-
TU1G01-5576	G1G01-5264	-
TU1G01-6238	G1G01-5395	-
TU1G01-2866	G1G01-2681 // G1G01-2680	+
TU1G01-1036	G1G01-976 // G1G01-975	+
TU1G01-1822	G1G01-1728 // G1G01-1727	+
TU1G01-3536	G1G01-3322	+
TU1G01-42	G1G01-32 // G1G01-31	+
TU1G01-7216	G1G01-1109	-
TU1G01-2490	G1G01-2336	+
TU1G01-4870	G1G01-4605 // G1G01-4604	-
TU1G01-5546	G1G01-5231	-
TU1G01-6208	G1G01-5500	+
TU1G01-2838	G1G01-2662	-
TU1G01-1006	G1G01-946 // G1G01-945 // G1G01-944 // G1G01-943	-
TU1G01-1796	G1G01-1709	+
TU1G01-3506	G1G01-3285	-
TU1G01-4170	G1G01-3894	-
TU1G01-7188	G1G01-1195	+
TU1G01-2460	G1G01-2309	-
TU1G01-4838	G1G01-4570	+
TU1G01-5516	G1G01-5202	-
TU1G01-6180	G1G01-5567	-
TU1G01-2808	G1G01-2635	-
TU1G01-1766	G1G01-1680	+
TU1G01-3478	G1G01-3263	-
TU1G01-4140	G1G01-3871	+
TU1G01-716	G1G01-696 // G1G01-695 // G1G01-694 // G1G01-693	-
TU1G01-2430	G1G01-2286	+
TU1G01-4808	G1G01-4542	-
TU1G01-5486	G1G01-5175	+
TU1G01-4802	G1G01-4539 // G1G01-4538	+
TU1G01-5480	G1G01-5169 // G1G01-5168 // G1G01-5167 // G1G01-5166	-
TU1G01-6146	G1G01-5641	+
TU1G01-2776	G1G01-2606	+
TU1G01-1732	G1G01-1635	-
TU1G01-3442	G1G01-3216 // G1G01-3215 // G1G01-3214 // G1G01-3213	-
TU1G01-4106	G1G01-3836	+
TU1G01-7124	G1G01-1505	+
TU1G01-2398	G1G01-2260	+
TU1G01-4776	G1G01-4509	+
TU1G01-5452	G1G01-5140 // G1G01-5139 // G1G01-5138 // G1G01-5137 // G1G01-5136	-
TU1G01-6118	G1G01-5721	-
TU1G01-1702	G1G01-1604	+
TU1G01-3412	G1G01-3187	+
TU1G01-4078	G1G01-3814 // G1G01-3813	-
TU1G01-7096	G1G01-1731	-
TU1G01-2368	G1G01-2239	-
TU1G01-4746	G1G01-4476	-
TU1G01-5422	G1G01-5113	+
TU1G01-6088	G1G01-5768	+
TU1G01-1674	G1G01-1578	+
TU1G01-3384	G1G01-3167 // G1G01-3166	+
TU1G01-7066	G1G01-1911	+
TU1G01-234	G1G01-197 // G1G01-196 // G1G01-195 // G1G01-194 // G1G01-193	+
TU1G01-4054	G1G01-3797	+
TU1G01-4718	G1G01-4444	-
TU1G01-998	G1G01-936	-
TU1G01-5396	G1G01-5097	-
TU1G01-606	G1G01-588	-
TU1G01-1644	G1G01-1553	+
TU1G01-3356	G1G01-3135	-
TU1G01-7038	G1G01-1941	-
TU1G01-2310	G1G01-2194	+
TU1G01-4024	G1G01-3776 // G1G01-3775	+
TU1G01-4688	G1G01-4407	-
TU1G01-968	G1G01-905	-
TU1G01-5372	G1G01-5074	+
TU1G01-6030	G1G01-5690 // G1G01-5689	-
TU1G01-1616	G1G01-1533 // G1G01-1532	-
TU1G01-6694	G1G01-3593	+
TU1G01-3326	G1G01-3113	-
TU1G01-7008	G1G01-2035	+
TU1G01-2280	G1G01-2161	-
TU1G01-4	G1G01-5776 // G1G01-5775	-
TU1G01-466	G1G01-423 // G1G01-422	-
TU1G01-94	G1G01-72	+
TU1G01-534	G1G01-491 // G1G01-490	+
TU1G01-6000	G1G01-5670	-
TU1G01-1588	G1G01-1509 // G1G01-1508 // G1G01-1507	-
TU1G01-6664	G1G01-3759	+
TU1G01-3298	G1G01-3089	+
TU1G01-6980	G1G01-2218	+
TU1G01-2252	G1G01-2129	+
TU1G01-3970	G1G01-3732	+
TU1G01-4630	G1G01-4351 // G1G01-4350	+
TU1G01-910	G1G01-853	+
TU1G01-5310	G1G01-5017	+
TU1G01-5976	G1G01-5651 // G1G01-5650	-
TU1G01-156	G1G01-135 // G1G01-134 // G1G01-133	+
TU1G01-6636	G1G01-3849	-
TU1G01-3268	G1G01-3065	-
TU1G01-1442	G1G01-1360 // G1G01-1359 // G1G01-1358	+
TU1G01-6952	G1G01-2328	-
TU1G01-2222	G1G01-2110 // G1G01-2109	+
TU1G01-3940	G1G01-3696 // G1G01-3695 // G1G01-3694 // G1G01-3693	-
TU1G01-4600	G1G01-4319 // G1G01-4318 // G1G01-4317 // G1G01-4316 // G1G01-4315	+
TU1G01-880	G1G01-826	-
TU1G01-5280	G1G01-4988	-
TU1G01-5946	G1G01-5624	-
TU1G01-1530	G1G01-1456	+
TU1G01-6606	G1G01-3933	+
TU1G01-324	G1G01-287	-
TU1G01-1414	G1G01-1328	-
TU1G01-6922	G1G01-2466	-
TU1G01-2196	G1G01-2082	-
TU1G01-3912	G1G01-3672	-
TU1G01-4572	G1G01-4293	+
TU1G01-852	G1G01-795	-
TU1G01-5252	G1G01-4965	+
TU1G01-5918	G1G01-5602	+
TU1G01-1500	G1G01-1433	+
TU1G01-658	G1G01-637	-
TU1G01-3210	G1G01-3016 // G1G01-3015	+
TU1G01-1386	G1G01-1300	+
TU1G01-6894	G1G01-2554	-
TU1G01-2166	G1G01-2061	+
TU1G01-3882	G1G01-3648	-
TU1G01-4540	G1G01-4271 // G1G01-4270 // G1G01-4269 // G1G01-4268 // G1G01-4267 // G1G01-4266	-
TU1G01-822	G1G01-770	+
TU1G01-5222	G1G01-4934	-
TU1G01-5886	G1G01-5565	-
TU1G01-1472	G1G01-1394	-
TU1G01-6550	G1G01-4107	+
TU1G01-3182	G1G01-2985 // G1G01-2984	-
TU1G01-1358	G1G01-1277 // G1G01-1276	+
TU1G01-6864	G1G01-2683	-
TU1G01-2138	G1G01-2033	-
TU1G01-3854	G1G01-3625 // G1G01-3624 // G1G01-3623	-
TU1G01-4510	G1G01-4237 // G1G01-4236 // G1G01-4235	+
TU1G01-796	G1G01-752	+
TU1G01-5196	G1G01-4906 // G1G01-4905	+
TU1G01-5858	G1G01-5540 // G1G01-5539	-
TU1G01-6520	G1G01-4233	-
TU1G01-3154	G1G01-2956 // G1G01-2955 // G1G01-2954	+
TU1G01-1328	G1G01-1257	-
TU1G01-6836	G1G01-2756	+
TU1G01-2108	G1G01-2001	-
TU1G01-3824	G1G01-3590	+
TU1G01-4480	G1G01-4213 // G1G01-4212	+
TU1G01-766	G1G01-732	+
TU1G01-5166	G1G01-4875 // G1G01-4874	+
TU1G01-5828	G1G01-5515 // G1G01-5514 // G1G01-5513	-
TU1G01-6492	G1G01-4376	-
TU1G01-3124	G1G01-2924 // G1G01-2923	-
TU1G01-130	G1G01-105	+
TU1G01-6806	G1G01-2994	-
TU1G01-208	G1G01-173	+
TU1G01-3798	G1G01-3567	-
TU1G01-4452	G1G01-4193	-
TU1G01-7453	G1G01-4613	-
TU1G01-2744	G1G01-2577 // G1G01-2576	-
TU1G01-5138	G1G01-4845	-
TU1G01-580	G1G01-554	-
TU1G01-6462	G1G01-4516	-
TU1G01-3096	G1G01-2899 // G1G01-2898 // G1G01-2897 // G1G01-2896	-
TU1G01-1268	G1G01-1219 // G1G01-1218 // G1G01-1217 // G1G01-1216 // G1G01-1215	-
TU1G01-678	G1G01-653	+
TU1G01-2050	G1G01-1949	-
TU1G01-3768	G1G01-3541	-
TU1G01-4422	G1G01-4159	+
TU1G01-7438	G1G01-5378 // G1G01-5377 // G1G01-5376 // G1G01-5375 // G1G01-5374	-
TU1G01-2716	G1G01-2552 // G1G01-2551 // G1G01-2550 // G1G01-2549	-
TU1G01-5108	G1G01-4821 // G1G01-4820	+
TU1G01-5772	G1G01-5455 // G1G01-5454 // G1G01-5453	-
TU1G01-6434	G1G01-4624	-
TU1G01-3064	G1G01-2861	+
TU1G01-124	G1G01-102 // G1G01-101 // G1G01-100	+
TU1G01-6750	G1G01-3259	+
TU1G01-2020	G1G01-1928	-
TU1G01-374	G1G01-335	-
TU1G01-4396	G1G01-4115 // G1G01-4114	-
TU1G01-7412	G1G01-97	+
TU1G01-2686	G1G01-2519 // G1G01-2518 // G1G01-2517	-
TU1G01-508	G1G01-467 // G1G01-466	-
TU1G01-5742	G1G01-5415	-
TU1G01-6404	G1G01-4811	-
TU1G01-3034	G1G01-2835 // G1G01-2834	+
TU1G01-1210	G1G01-1160	+
TU1G01-6720	G1G01-3470	+
TU1G01-1992	G1G01-1890 // G1G01-1889	+
TU1G01-3710	G1G01-3469	-
TU1G01-4366	G1G01-4093 // G1G01-4092 // G1G01-4091	-
TU1G01-7384	G1G01-272	+
TU1G01-2658	G1G01-2488	+
TU1G01-5050	G1G01-4754	-
TU1G01-5714	G1G01-5391	+
TU1G01-6378	G1G01-4866	+
TU1G01-3004	G1G01-2799 // G1G01-2798	-
TU1G01-1178	G1G01-1131	-
TU1G01-1962	G1G01-1861 // G1G01-1860 // G1G01-1859	+
TU1G01-3680	G1G01-3445 // G1G01-3444 // G1G01-3443 // G1G01-3442	-
TU1G01-4338	G1G01-4068 // G1G01-4067	-
TU1G01-7356	G1G01-331	-
TU1G01-2628	G1G01-2465	+
TU1G01-5020	G1G01-4732	-
TU1G01-5684	G1G01-5365	+
TU1G01-6348	G1G01-4928	-
TU1G01-2978	G1G01-2770	+
TU1G01-1148	G1G01-1092 // G1G01-1091 // G1G01-1090 // G1G01-1089	+
TU1G01-1934	G1G01-1838	-
TU1G01-3652	G1G01-3416	-
TU1G01-4308	G1G01-4023	+
TU1G01-7326	G1G01-428	-
TU1G01-260	G1G01-220	+
TU1G01-4994	G1G01-4713	+
TU1G01-5656	G1G01-5338	+
TU1G01-632	G1G01-613	-
TU1G01-2948	G1G01-2744	+
TU1G01-1118	G1G01-1062 // G1G01-1061	-
TU1G01-1904	G1G01-1811	-
TU1G01-3620	G1G01-3393	-
TU1G01-428	G1G01-392	-
TU1G01-7298	G1G01-581	+
TU1G01-2572	G1G01-2415 // G1G01-2414 // G1G01-2413	+
TU1G01-4964	G1G01-4693	+
TU1G01-5626	G1G01-5312	+
TU1G01-6290	G1G01-5123	-
TU1G01-292	G1G01-252	-
TU1G01-1088	G1G01-1026	-
TU1G01-1876	G1G01-1788	-
TU1G01-3594	G1G01-3376	+
TU1G01-4250	G1G01-3960	-
TU1G01-7268	G1G01-829	-
TU1G01-2542	G1G01-2386	+
TU1G01-4934	G1G01-4672	+
TU1G01-56	G1G01-43	-
TU1G01-6260	G1G01-5291	-
TU1G01-2890	G1G01-2699 // G1G01-2698 // G1G01-2697	-
TU1G01-106	G1G01-82 // G1G01-81	-
TU1G01-1846	G1G01-1754	+
TU1G01-356	G1G01-318 // G1G01-317 // G1G01-316	-
TU1G01-4220	G1G01-3931 // G1G01-3930	-
TU1G01-724	G1G01-700	-
TU1G01-2514	G1G01-2359	+
TU1G01-4896	G1G01-4639	-
TU1G01-5570	G1G01-5259	-
TU1G01-6232	G1G01-5416	+
TU1G01-2860	G1G01-2677	-
TU1G01-1030	G1G01-967 // G1G01-966	+
TU1G01-1818	G1G01-1725	+
TU1G01-3530	G1G01-3319	+
TU1G01-4194	G1G01-3911	+
TU1G01-7210	G1G01-1132	+
TU1G01-2484	G1G01-2327 // G1G01-2326 // G1G01-2325	+
TU1G01-4864	G1G01-4592 // G1G01-4591	-
TU1G01-5540	G1G01-5228 // G1G01-5227 // G1G01-5226	-
TU1G01-6202	G1G01-5505	+
TU1G01-2832	G1G01-2659	-
TU1G01-1000	G1G01-938 // G1G01-937	+
TU1G01-1790	G1G01-1704	+
TU1G01-3500	G1G01-3282 // G1G01-3281	-
TU1G01-4164	G1G01-3891	-
TU1G01-7182	G1G01-1209	+
TU1G01-2456	G1G01-2307 // G1G01-2306	+
TU1G01-4832	G1G01-4567	+
TU1G01-5510	G1G01-5198	+
TU1G01-6176	G1G01-5569	-
TU1G01-2802	G1G01-2630	+
TU1G01-1760	G1G01-1670	+
TU1G01-3472	G1G01-3254	+
TU1G01-4136	G1G01-3867	-
TU1G01-7154	G1G01-1395	+
TU1G01-2424	G1G01-2282	+
TU1G01-7148	G1G01-1451	-
TU1G01-242	G1G01-203	+
TU1G01-48	G1G01-39	+
TU1G01-5476	G1G01-5164 // G1G01-5163	-
TU1G01-6140	G1G01-5662	-
TU1G01-2770	G1G01-2601	-
TU1G01-1726	G1G01-1632 // G1G01-1631	-
TU1G01-3438	G1G01-3206	-
TU1G01-4100	G1G01-3830 // G1G01-3829	+
TU1G01-712	G1G01-690	-
TU1G01-2392	G1G01-2256 // G1G01-2255	+
TU1G01-4770	G1G01-4499 // G1G01-4498	+
TU1G01-5446	G1G01-5133 // G1G01-5132	+
TU1G01-6112	G1G01-5731	-
TU1G01-1698	G1G01-1598	+
TU1G01-3406	G1G01-3179	-
TU1G01-4072	G1G01-3809	-
TU1G01-7090	G1G01-1744	+
TU1G01-2362	G1G01-2236	+
TU1G01-4740	G1G01-4471 // G1G01-4470	-
TU1G01-5418	G1G01-5111	-
TU1G01-6082	G1G01-5764 // G1G01-5763	+
TU1G01-1668	G1G01-1572 // G1G01-1571	-
TU1G01-338	G1G01-302	-
TU1G01-7060	G1G01-1918	+
TU1G01-2334	G1G01-2208	-
TU1G01-4048	G1G01-3792	+
TU1G01-4712	G1G01-4436 // G1G01-4435 // G1G01-4434	-
TU1G01-992	G1G01-932	+
TU1G01-6054	G1G01-5709	+
TU1G01-164	G1G01-140	+
TU1G01-3350	G1G01-3132	-
TU1G01-7032	G1G01-1956	+
TU1G01-2304	G1G01-2189	-
TU1G01-402	G1G01-365	-
TU1G01-4682	G1G01-4390 // G1G01-4389 // G1G01-4388	+
TU1G01-962	G1G01-897 // G1G01-896	-
TU1G01-5366	G1G01-5070	+
TU1G01-6024	G1G01-5686	-
TU1G01-1610	G1G01-1527	+
TU1G01-6688	G1G01-3596	-
TU1G01-3320	G1G01-3109 // G1G01-3108	-
TU1G01-7002	G1G01-2051	-
TU1G01-2276	G1G01-2156	+
TU1G01-3994	G1G01-3752	+
TU1G01-4654	G1G01-4371	-
TU1G01-934	G1G01-875	-
TU1G01-5334	G1G01-5037	-
TU1G01-6	G1G01-5777	-
TU1G01-1582	G1G01-1501 // G1G01-1500	-
TU1G01-666	G1G01-642	-
TU1G01-3292	G1G01-3086	-
TU1G01-6976	G1G01-2233	+
TU1G01-2246	G1G01-2124	+
TU1G01-3964	G1G01-3725 // G1G01-3724 // G1G01-3723 // G1G01-3722	-
TU1G01-4624	G1G01-4347	+
TU1G01-904	G1G01-849	+
TU1G01-5304	G1G01-5012	+
TU1G01-5970	G1G01-5646 // G1G01-5645	+
TU1G01-1554	G1G01-1476 // G1G01-1475 // G1G01-1474	-
TU1G01-6630	G1G01-3866	+
TU1G01-3262	G1G01-3060 // G1G01-3059	-
TU1G01-1438	G1G01-1356 // G1G01-1355 // G1G01-1354	-
TU1G01-6946	G1G01-2331	+
TU1G01-2218	G1G01-2101 // G1G01-2100	-
TU1G01-3936	G1G01-3691	+
TU1G01-4598	G1G01-4314 // G1G01-4313 // G1G01-4312 // G1G01-4311	-
TU1G01-876	G1G01-824	+
TU1G01-5276	G1G01-4984 // G1G01-4983	-
TU1G01-5940	G1G01-5621	+
TU1G01-1524	G1G01-1450	+
TU1G01-6600	G1G01-3948	+
TU1G01-3234	G1G01-3039 // G1G01-3038	-
TU1G01-1408	G1G01-1322 // G1G01-1321	-
TU1G01-6918	G1G01-2485	-
TU1G01-2190	G1G01-2079	+
TU1G01-3906	G1G01-3665	+
TU1G01-4566	G1G01-4289	+
TU1G01-846	G1G01-791 // G1G01-790 // G1G01-789 // G1G01-788 // G1G01-787 // G1G01-786	+
TU1G01-5246	G1G01-4960	+
TU1G01-5912	G1G01-5599	-
TU1G01-1496	G1G01-1428 // G1G01-1427 // G1G01-1426 // G1G01-1425 // G1G01-1424 // G1G01-1423 // G1G01-1422 // G1G01-1421 // G1G01-1420 // G1G01-1419 // G1G01-1418 // G1G01-1417 // G1G01-1416 // G1G01-1415	+
TU1G01-6574	G1G01-4024	-
TU1G01-3204	G1G01-3011 // G1G01-3010	-
TU1G01-1380	G1G01-1297	+
TU1G01-6888	G1G01-2590	-
TU1G01-2160	G1G01-2058 // G1G01-2057 // G1G01-2056	-
TU1G01-3878	G1G01-3646 // G1G01-3645	+
TU1G01-4534	G1G01-4259	+
TU1G01-818	G1G01-767 // G1G01-766 // G1G01-765	-
TU1G01-5218	G1G01-4927	+
TU1G01-5880	G1G01-5562 // G1G01-5561	-
TU1G01-1466	G1G01-1389	+
TU1G01-6544	G1G01-4116	+
TU1G01-3178	G1G01-2981 // G1G01-2980	-
TU1G01-1352	G1G01-1273	-
TU1G01-686	G1G01-663 // G1G01-662 // G1G01-661	+
TU1G01-2132	G1G01-2029 // G1G01-2028	+
TU1G01-3848	G1G01-3620 // G1G01-3619 // G1G01-3618 // G1G01-3617 // G1G01-3616	+
TU1G01-4504	G1G01-4229	-
TU1G01-790	G1G01-749	-
TU1G01-5190	G1G01-4895	-
TU1G01-5852	G1G01-5536	+
TU1G01-6516	G1G01-4247	-
TU1G01-3148	G1G01-2950	+
TU1G01-1322	G1G01-1254 // G1G01-1253	-
TU1G01-6830	G1G01-2762	+
TU1G01-2102	G1G01-1997 // G1G01-1996 // G1G01-1995 // G1G01-1994	+
TU1G01-382	G1G01-340	-
