Transcription-Units	Direction	Genes of transcription unit
TU8J2-1275	+	BSU32560
TU8J2-17230	+	BSU25040
TU8J2-677	-	BSU24310 // BSU24320
TU8J2-2988	-	BSU32290 // BSU32300 // BSU32310
TU8J2-17099	-	BSU06590
TU8J2-17279	+	BSU32030
TU8J2-1251	+	BSU_11800 // BSU11809 // BSU11799
TU8J2-1132	-	BSU03070
TU8J2-16068	+	BSU04580
TU8J2-583	-	BSU28840 // BSU28850 // BSU28860 // BSU28870
TU8J2-16627	-	BSU_21639
TU8J2-17292	+	BSU32920
TU8J2-16994	-	BSU36780
TU8J2-831	+	BSU15810
TU8J2-1000	+	BSU08030
TU8J2-16053	-	BSU03788
TU8J2-16373	+	BSU15020 // BSU15010
TU8J2-16210	-	BSU09760
TU8J2-16251	+	BSU11100
TU8J2-353	-	BSU37290
TU8J2-16521	-	BSU19630
TU8J2-16704	-	BSU24890
TU8J2-15957	+	BSU00100
TU8J2-17133	+	BSU11030
TU8J2-425	-	BSU35490 // BSU35500
TU8J2-16001	+	BSU_RRNA_15
TU8J2-16078	+	BSU05100 // BSU05099
TU8J2-16409	+	BSU16870
TU8J2-1389	+	BSU11839
TU8J2-16924	-	BSU33221 // BSU33210
TU8J2-16863	-	BSU31040
TU8J2-500	+	BSU31270
TU8J2-15941	-	BSU25910
TU8J2-16167	+	BSU07170
TU8J2-835	+	BSU15290 // BSU15280
TU8J2-17037	-	BSU39210 // BSU39200
TU8J2-4	-	BSU25290 // BSU25300
TU8J2-17134	-	BSU11110
TU8J2-17158	-	BSU13630
TU8J2-661	-	BSU25200 // BSU25210 // BSU25230
TU8J2-16038	-	BSU_02585
TU8J2-15963	+	BSU00330 // BSU00320 // BSU00310 // BSU00300 // BSU00290
TU8J2-17220	-	BSU22250
TU8J2-16013	+	BSU01845 // BSU01830
TU8J2-672	+	BSU24610 // BSU24600
TU8J2-16447	-	BSU17699
TU8J2-986	+	BSU08390
TU8J2-16346	+	BSU14280 // BSU14270 // BSU14260
TU8J2-56	-	BSU35310
TU8J2-8	-	BSU35180
TU8J2-2947	+	BSU01770 // BSU01760 // BSU01750
TU8J2-16921	-	BSU33180 // BSU33170 // BSU33160 // BSU33150
TU8J2-17267	+	BSU30150
TU8J2-16575	-	BSU20750
TU8J2-15960	-	BSU00170
TU8J2-17039	-	BSU39640 // BSU39630 // BSU39620
TU8J2-16424	+	BSU17267 // BSU17266
TU8J2-15876	+	BSU04220
TU8J2-375	-	BSU36740
TU8J2-914	+	BSU10790
TU8J2-703	+	BSU23620
TU8J2-16574	-	BSU20740 // BSU20730 // BSU20720 // BSU20710 // BSU20700 // BSU20690 // BSU20680
TU8J2-573	-	BSU29100 // BSU29110
TU8J2-740	+	BSU22000
TU8J2-1183	+	BSU00980
TU8J2-16438	+	BSU17520
TU8J2-28	+	BSU02290 // BSU02280 // BSU02270
TU8J2-1169	+	BSU02050
TU8J2-1103	-	BSU03860 // BSU03870
TU8J2-16724	-	BSU25820
TU8J2-390	-	BSU36470
TU8J2-194	-	BSU10910 // BSU10920 // BSU10930
TU8J2-16247	-	BSU11000 // BSU10990
TU8J2-16821	-	BSU_TRNA_84
TU8J2-16186	+	BSU08720
TU8J2-16571	-	BSU20640
TU8J2-1113	+	BSU03530
TU8J2-16919	+	BSU32980
TU8J2-201	-	BSU40990 // BSU41000 // BSU41010 // BSU41020
TU8J2-2978	-	BSU10730
TU8J2-16917	-	BSU32950
TU8J2-16460	-	BSU18110
TU8J2-16204	-	BSU09620 // BSU09610 // BSU09600
TU8J2-16160	+	BSU07040 // BSU07030 // BSU07020 // BSU07010 // BSU07000 // BSU06990 // BSU06980 // BSU06970
TU8J2-1300	-	BSU30700
TU8J2-1472	+	BSU23040
TU8J2-667	-	BSU24760
TU8J2-16763	-	BSU26610
TU8J2-410	+	BSU35970
TU8J2-251	-	BSU39850
TU8J2-39	-	BSU37130
TU8J2-15938	-	BSU18830
TU8J2-17026	+	BSU38880
TU8J2-16875	-	BSU31319
TU8J2-15947	-	BSU08620
TU8J2-17139	-	BSU11630
TU8J2-35	-	BSU09500 // BSU09510 // BSU09520
TU8J2-1192	+	BSU00630 // BSU00620 // BSU00610 // BSU00600 // BSU00590 // BSU00580 // BSU00570
TU8J2-17271	+	BSU30680
TU8J2-16982	+	BSU36130 // BSU36120 // BSU36110
TU8J2-327	+	BSU38060
TU8J2-17135	-	BSU11270
TU8J2-159	-	BSU33222 // BSU33230
TU8J2-16493	+	BSU18909
TU8J2-16550	-	BSU20170
TU8J2-527	-	BSU30320
TU8J2-15911	+	BSU16030 // BSU16020 // BSU16010
TU8J2-203	-	BSU40960 // BSU40970
TU8J2-259	+	BSU39610
TU8J2-16109	+	BSU05600
TU8J2-577	-	BSU28960
TU8J2-453	-	BSU33260 // BSU33270 // BSU33280
TU8J2-16250	+	BSU11090 // BSU11080 // BSU11079
TU8J2-180	-	BSU32820 // BSU32830 // BSU32840 // BSU32850
TU8J2-15939	-	BSU06220
TU8J2-16066	+	BSU04510
TU8J2-415	-	BSU35830
TU8J2-811	-	BSU17410
TU8J2-11	+	BSU00880 // BSU00870 // BSU00860 // BSU00850 // BSU00840 // BSU00830
TU8J2-16888	-	BSU32040
TU8J2-16754	-	BSU26480
TU8J2-537	-	BSU29930
TU8J2-16925	-	BSU33310 // BSU33300 // BSU33290
TU8J2-16989	-	BSU36630
TU8J2-17251	+	BSU27530
TU8J2-16203	+	BSU09590
TU8J2-17312	+	BSU35050
TU8J2-16504	-	BSU19100
TU8J2-16328	+	BSU13770
TU8J2-841	-	BSU15030
TU8J2-1065	-	BSU05530
TU8J2-16089	+	BSU05210
TU8J2-807	+	BSU17580 // BSU17570
TU8J2-15902	-	BSU27610 // BSU27620
TU8J2-946	+	BSU09440
TU8J2-16391	+	BSU_MISC_RNA_30
TU8J2-670	+	BSU24650
TU8J2-16595	-	BSU21010
TU8J2-1253	-	BSU13190
TU8J2-1278	+	BSU12290 // BSU12280
TU8J2-17003	-	BSU37240
TU8J2-417	-	BSU35780
TU8J2-584	+	BSU28830
TU8J2-2980	-	BSU26830
TU8J2-17000	-	BSU37060
TU8J2-16916	-	BSU32910 // BSU32900 // BSU32890
TU8J2-893	-	BSU12150
TU8J2-996	-	BSU08120 // BSU08130 // BSU08140 // BSU08150 // BSU08160 // BSU08170
TU8J2-17307	-	BSU_TRNA_81
TU8J2-17284	-	BSU32210
TU8J2-17428	-	BSU25340
TU8J2-181	-	BSU07680 // BSU07690
TU8J2-192	-	BSU10970 // BSU10980
TU8J2-509	+	BSU30920
TU8J2-422	+	BSU35650
TU8J2-16759	-	BSU26550
TU8J2-16986	-	BSU36370
TU8J2-16870	-	BSU_TRNA_86
TU8J2-17170	+	BSU14810
TU8J2-681	-	BSU24220
TU8J2-555	-	BSU29520 // BSU29530
TU8J2-17269	+	BSU30520
TU8J2-17244	+	BSU26350
TU8J2-3028	-	BSU30530 // BSU30540 // BSU30550
TU8J2-8231	-	BSU03940 // BSU03950 // BSU03960
TU8J2-16508	-	BSU19250
TU8J2-628	+	BSU27670
TU8J2-1290	+	G8J2-7 // BSU09958
TU8J2-16491	-	BSU18898
TU8J2-29	+	BSU36380
TU8J2-16313	+	BSU13390 // BSU13380
TU8J2-1117	-	BSU03440
TU8J2-17238	+	BSU25569
TU8J2-1276	+	BSU15340
TU8J2-187	+	BSU11790
TU8J2-17147	-	BSU12229
TU8J2-151	+	BSU05650 // BSU05640
TU8J2-1170	+	BSU02010
TU8J2-14	+	BSU16480 // BSU16470 // BSU16460 // BSU16450 // BSU16440 // BSU16430 // BSU16420 // BSU16410 // BSU16400 // BSU16390 // BSU16380 // BSU16370 // BSU16360 // BSU16350 // BSU16340 // BSU16330 // BSU16320 // BSU16310 // BSU16300 // BSU16299 // BSU16290 // BSU16280 // BSU16270 // BSU16260 // BSU16250 // BSU16240 // BSU16230 // BSU16220 // BSU16210 // BSU16200 // BSU16190 // BSU16180
TU8J2-654	-	BSU25540
TU8J2-16644	-	BSU22180
TU8J2-42	+	BSU02940 // BSU02930 // BSU02920 // BSU02910 // BSU02900 // BSU02890
TU8J2-16358	+	G8J2-6
TU8J2-17154	-	BSU13350
TU8J2-1053	+	BSU06160 // BSU06150
TU8J2-17325	-	BSU38360
TU8J2-25	+	BSU03000 // BSU02990 // BSU02980
TU8J2-858	-	BSU14040
TU8J2-1123	+	BSU03330
TU8J2-17145	+	BSU12130
TU8J2-299	+	BSU38710
TU8J2-16292	+	BSU12480
TU8J2-72	+	BSU37620
TU8J2-16890	-	BSU32080
TU8J2-17085	-	BSU05290
TU8J2-16945	-	BSU33990
TU8J2-294	+	BSU38790
TU8J2-822	+	BSU16480 // BSU16470 // BSU16460 // BSU16450 // BSU16440 // BSU16430 // BSU16420 // BSU16410 // BSU16400 // BSU16390 // BSU16380 // BSU16370 // BSU16360 // BSU16350 // BSU16340 // BSU16330 // BSU16320 // BSU16310 // BSU16300 // BSU16299 // BSU16290 // BSU16280 // BSU16270 // BSU16260 // BSU16250 // BSU16240 // BSU16230 // BSU16220 // BSU16210 // BSU16200 // BSU16190 // BSU16180
TU8J2-2970	-	BSU19460 // BSU19470 // BSU19479
TU8J2-16534	-	BSU19970
TU8J2-323	-	BSU38120
TU8J2-16080	+	BSU05110
TU8J2-16692	-	BSU24480
TU8J2-340	-	BSU37650
TU8J2-16669	-	BSU22980
TU8J2-7	+	BSU34540
TU8J2-1022	-	BSU07490 // BSU07500 // BSU07510 // BSU07520
TU8J2-17172	-	BSU15640
TU8J2-16061	+	BSU04330
TU8J2-16664	-	BSU22900
TU8J2-16366	+	BSU14780
TU8J2-171	+	BSU04520
TU8J2-594	-	BSU28570
TU8J2-1009	+	BSU07900 // BSU07890 // BSU07880
TU8J2-17261	+	BSU29620
TU8J2-257	-	BSU39670 // BSU39680 // BSU39690 // BSU39700 // BSU39710 // BSU39720 // BSU39730 // BSU39740 // BSU39750 // BSU39760
TU8J2-518	-	BSU30570
TU8J2-16650	-	BSU22400
TU8J2-16892	-	BSU32100
TU8J2-16505	-	BSU19140
TU8J2-109	+	BSU12870
TU8J2-516	-	BSU30650
TU8J2-812	-	BSU17310
TU8J2-17266	+	BSU30020
TU8J2-1248	-	BSU40890 // BSU40900 // BSU40910 // BSU40920
TU8J2-1201	+	BSU00400
TU8J2-16162	+	BSU07080 // BSU07070
TU8J2-273	-	BSU39240
TU8J2-16010	+	BSU01590
TU8J2-17231	-	BSU25050
TU8J2-17290	-	BSU32550
TU8J2-653	-	BSU25570 // BSU25580 // BSU25590
TU8J2-1051	-	BSU06220
TU8J2-16480	-	BSU18709
TU8J2-17210	+	BSU20520
TU8J2-1027	-	BSU07420
TU8J2-17114	-	BSU09350
TU8J2-16165	+	BSU07140
TU8J2-17296	-	BSU33370
TU8J2-1110	-	BSU03590 // BSU03600 // BSU03610
TU8J2-640	+	BSU26990 // BSU26980 // BSU26970 // BSU26960 // BSU26950
TU8J2-1237	+	BSU02540 // BSU02530
TU8J2-16474	-	BSU_18595
TU8J2-16387	+	BSU15790 // BSU15780 // BSU15770 // BSU15760 // BSU15750 // BSU15740 // BSU15730 // BSU15720 // BSU15710 // BSU15700
TU8J2-797	-	BSU17920
TU8J2-36	-	BSU23090 // BSU23100
TU8J2-1225	-	BSU35270 // BSU35280
TU8J2-16362	-	BSU14690
TU8J2-15952	-	BSU33490
TU8J2-800	+	BSU17880 // BSU17870 // BSU17860
TU8J2-2992	+	BSU34110 // BSU34100
TU8J2-954	+	BSU09290 // BSU09280
TU8J2-792	+	BSU18000
TU8J2-16218	-	BSU10030
TU8J2-267	-	BSU39400 // BSU39410 // BSU39420 // BSU39430
TU8J2-1063	-	BSU05630
TU8J2-16538	-	BSU20020
TU8J2-17041	+	BSU_MISC_RNA_86
TU8J2-669	-	BSU24660 // BSU24670 // BSU24680 // BSU24690 // BSU24700 // BSU24710 // BSU24720 // BSU24730
TU8J2-16688	-	BSU23950
