Proteins	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene	Genes of polypeptide, complex, or RNA	Common-Name	Locations
BSU29000-MONOMER	BSU29000	BSU29000	2965681	2966139	BSU29000	negative regulator of transcription of ribonucleotide reductase nrd genes and operons (NrdR::ATP/dATP)	CCI-CYTOSOL-GP
BSU27980-MONOMER	BSU27980	BSU27980	2856832	2857626	BSU27980	inhibitor of SpoIVFB metalloprotease (stage IV sporulation)	CCI-PM-BAC-POS-GP
BSU38860-MONOMER	BSU38860	BSU38860	3989948	3990967	BSU38860	UDP-glucose 4-epimerase	CCI-CYTOSOL-GP
BSU06130-MONOMER	BSU06130	BSU06130	664319	664669	BSU06130	conserved hypothetical protein; prophage region 3	
BSU31240-MONOMER	BSU31240	BSU31240	3206169	3208154	BSU31240	methyl-accepting chemotaxis protein	CCI-PM-BAC-POS-GP
BSU37930-MONOMER	BSU37930	BSU37930	3894030	3894401	BSU37930	conserved membrane protein	CCI-PM-BAC-POS-GP
CPLX8J2-28	BSU36660 // BSU36650 // BSU36640		3768791	3769108	BSU36660 // BSU36650 // BSU36640	urease	
BSU12460-MONOMER	BSU12460	BSU12460	1317535	1318488	BSU12460	phage PBSX; N-acetylmuramoyl-L-alanine amidase	CCI-EXTRACELLULAR-GP
BSU22000-MONOMER	BSU22000	BSU22000	2310859	2310987	BSU22000	small acid-soluble spore protein	
BSU03810-MONOMER	BSU03810	BSU03810	433315	434262	BSU03810	petrobactin iron-siderophore ABC transporter (permease)	CCI-PM-BAC-POS-GP
BSU25230-MONOMER	BSU25230	BSU25230	2603373	2603867	BSU25230	conserved protein of unknown function	
BSU06220-MONOMER	BSU06220	BSU06220	674832	675857	BSU06220	putative membrane associated potassium channel; prophage region 3	CCI-PM-BAC-POS-GP
MONOMER8J2-60	G8J2-176	BSU_19745	2145671	2145826	G8J2-176	putative antitoxin (YoyG)	
BSU12250-MONOMER	BSU12250	BSU12250	1295748	1296500	BSU12250	ABC family transporter ATP-binding protein YjkB	CCI-PM-BAC-POS-GP
BSU05740-MONOMER	BSU05740	BSU05740	620097	621485	BSU05740	alkaline phosphatase III (promiscuous, heptaprenylglyceryl phosphate is a substrate)	
BSU23310-MONOMER	BSU23310	BSU23310	2432316	2432870	BSU23310	type I signal peptidase	CCI-PM-BAC-POS-GP
BSU01660-MONOMER	BSU01660	BSU01660	186452	188380	BSU01660	beta-N-acetylglucosaminidase lipoprotein	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP // CCI-PM-BAC-POS-GP
BSU26250-MONOMER	BSU26250	BSU26250	2692933	2693361	BSU26250	Holliday junction resolvase subunit; skin element	
CPLX-9149	BSU38520	BSU38520	3954987	3955223	BSU38520	D-alanyl carrier protein	
BSU11000-MONOMER	BSU11000	BSU11000	1178218	1178667	BSU11000	putative N-acetyltransferase	
BSU00040-MONOMER	BSU00040	BSU00040	3437	4549	BSU00040	RecA filament-DNA complex stabilisation, ssDNA and dsDNA binding, ATP binding	CCI-BAC-NUCLEOID-GP // CCI-CYTOSOL-GP
BSU_25565-MONOMER	BSU_25565	BSU_25565	2637179	2637328	BSU_25565	hypothetical protein	
BSU24050-MONOMER	BSU24050	BSU24050	2499090	2500082	BSU24050	2-keto-isovalerate dehydrogenase component &alpha; subunit	
BSU28740-MONOMER	BSU28740	BSU28740	2940697	2941638	BSU28740	arabinose / 1,5-arabinooligosaccharides permease	CCI-PM-BAC-POS-GP
BSU38680-MONOMER	BSU38680	BSU38680	3969796	3970002	BSU38680	sigma-Y antisigma factor component	CCI-PM-BAC-POS-GP
BSU31670-MONOMER	BSU31670	BSU31670	3252405	3252785	BSU31670	putative proofreading thioesterase in bacillibactin biosynthesis	CCI-CYTOSOL-GP
BSU22869-MONOMER	BSU22869	BSU22869	2393428	2393559	BSU22869	spore-related protein	
BSU11020-MONOMER	BSU11020	BSU11020	1180909	1181400	BSU11020	putative RNA or cyclic d-GMP binding protein	CCI-CYTOSOL-GP
BSU13390-MONOMER	BSU13390	BSU13390	1403479	1404492	BSU13390	putative lipoteichoic acid glycosyltransferase	CCI-PM-BAC-POS-GP
MONOMER-21064	BSU29010	BSU29010	2966413	2966793	BSU29010	<i>S</i>-adenosylmethionine decarboxylase &alpha; subunit	
BSU11230-MONOMER	BSU11230	BSU11230	1199327	1200388	BSU11230	arginine-specific carbamoyl-phosphate synthetase (small subunit)	CCI-CYTOSOL-GP
BSU38350-MONOMER	BSU38350	BSU38350	3935591	3935788	BSU38350	conserved protein of unknown function	
BSU31090-MONOMER	BSU31090	BSU31090	3188414	3189082	BSU31090	K<sup>+</sup> transporter family protein KtrA	CCI-PM-BAC-POS-GP
CPLX8J2-112	BSU39990	BSU39990	4107352	4107927	BSU39990	QdoR transcriptional repressor	
BSU23350-MONOMER	BSU23350	BSU23350	2435012	2435224	BSU23350	putative germination protein	
BSU12830-MONOMER	BSU12830	BSU12830	1348612	1349358	BSU12830	three-component apoptosis factor (ABC type II toxin/antitoxin/antitoxin system)	CCI-PM-BAC-POS-GP
BSU_40358-MONOMER	BSU_40358	BSU_40358	4147419	4147547	BSU_40358	hypothetical protein	
BSU19890-MONOMER	BSU19890	BSU19890	2154266	2154583	BSU19890	hypothetical protein; phage SPbeta	
BSU15810-MONOMER	BSU15810	BSU15810	1655446	1655526	BSU15810	factor required for normal spore cortex and coat synthesis (stage V sporulation)	CCI-PM-BAC-POS-GP
BSU36580-MONOMER	BSU36580	BSU36580	3761987	3762421	BSU36580	conserved membrane protein of unknown function	CCI-PM-BAC-POS-GP
BSU35140-MONOMER	BSU35140	BSU35140	3608991	3609221	BSU35140	conserved protein of unknown function	
BSU11370-MONOMER	BSU11370	BSU11370	1212460	1213449	BSU11370	oligopeptide ABC transporter ATP-binding protein AppF	CCI-PM-BAC-POS-GP
BSU24430-MONOMER	BSU24430	BSU24430	2536690	2537613	BSU24430	ATP-binding protease stage III sporulation protein	CCI-CYTOSOL-GP
BSU31620-MONOMER	BSU31620	BSU31620	3249427	3249768	BSU31620	Na<sup>+</sup>:H<sup>+</sup> antiporter subunit C	CCI-PM-BAC-POS-GP
BSU07380-MONOMER	BSU07380	BSU07380	811569	812015	BSU07380	conserved hypothetical protein	CCI-PM-BAC-POS-GP
BSU40900-MONOMER	BSU40900	BSU40900	4198886	4199404	BSU40900	single-strand DNA-binding protein	CCI-CYTOSOL-GP // CCI-BAC-NUCLEOID-GP
BSU21930-MONOMER	BSU21930	BSU21930	2307905	2308105	BSU21930	cold-shock protein, molecular chaperone, RNA-helicase co-factor	CCI-CYTOSOL-GP
BSU36370-MONOMER	BSU36370	BSU36370	3743732	3744157	BSU36370	beta-hydroxyacyl-[acyl carrier protein] dehydratase	CCI-CYTOSOL-GP
BSU16480-MONOMER	BSU16480	BSU16480	1717286	1717789	BSU16480	context-sensitive coupling factor for flagellin transcription and translation	CCI-CYTOSOL-GP // CCI-PM-BAC-POS-GP
BSU24450-MONOMER	BSU24450	BSU24450	2538115	2538672	BSU24450	elongation factor P	CCI-CYTOSOL-GP
BSU36330-MONOMER	BSU36330	BSU36330	3741182	3741592	BSU36330	conserved protein of unknown function	
BSU01450-MONOMER	BSU01450	BSU01450	150443	151288	BSU01450	ECF transporter, ATP-binding component EcfA1	CCI-PM-BAC-POS-GP
BSU24160-MONOMER	BSU24160	BSU24160	2511973	2512836	BSU24160	3-hydroxyacyl-CoA dehydrogenase	CCI-CYTOSOL-GP
BSU23500-MONOMER	BSU23500	BSU23500	2447246	2448430	BSU23500	1,5-phosphopentomutase	CCI-CYTOSOL-GP
BSU17940-MONOMER	BSU17940	BSU17940	1924030	1924392	BSU17940	putative response regulator (YneIJ TCS; CheY homolog)	
CPLX8J2-98	BSU27520	BSU27520	2811717	2812133	BSU27520	transcriptional regulator of cysteine biosynthesis	
BSU01980-MONOMER	BSU01980	BSU01980	219607	220032	BSU01980	sibling killing effect; sporulation killing factor biosynthesis and export	
BSU38630-MONOMER	BSU38630	BSU38630	3964997	3966640	BSU38630	major catalase in spores	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP
CPLX8J2-301	BSU31910	BSU31910	3276141	3276434	BSU31910	small WGX100 secreted protein	
BSU37300-MONOMER	BSU37300	BSU37300	3830761	3831480	BSU37300	putative integral inner membrane protein	CCI-PM-BAC-POS-GP
BSU28980-MONOMER	BSU28980	BSU28980	2963185	2964120	BSU28980	helicase loader	
BSU01070-MONOMER	BSU01070	BSU01070	121919	125500	BSU01070	RNA polymerase (beta subunit)	
BSU32230-MONOMER	BSU32230	BSU32230	3310763	3312736	BSU32230	putative acylaminoacyl-peptidase	
BSU34180-MONOMER	BSU34180	BSU34180	3509831	3510490	BSU34180	L-lactate utilization global transcriptional regulator (GntR family)	
BSU16140-MONOMER	BSU16140	BSU16140	1687187	1688101	BSU16140	site-specific tyrosine recombinase for chromosome partitioning	CCI-CYTOSOL-GP
BSU20660-MONOMER	BSU20660	BSU20660	2199362	2199526	BSU20660	hypothetical protein; phage SPbeta	
BSU15700-MONOMER	BSU15700	BSU15700	1642851	1644071	BSU15700	coenzyme A biosynthesis bifunctional protein CoaBC; phosphopantothenoylcysteine synthetase/decarboxylase	CCI-CYTOSOL-GP
BSU13410-MONOMER	BSU13410	BSU13410	1406357	1407292	BSU13410	ATP-dependent DNA ligase subunit Ku; AP/deoxyribose 5'-phosphate (5'-dRP)-lyase	
BSU23740-MONOMER	BSU23740	BSU23740	2467800	2468162	BSU23740	hypothetical protein	CCI-PM-BAC-POS-GP
BSU07020-MONOMER	BSU07020	BSU07020	768137	768835	BSU07020	rhamnogalacturonan acetylesterase	
BSU23220-MONOMER	BSU23220	BSU23220	2425831	2426586	BSU23220	chromosome condensation and partitioning factor	CCI-CYTOSOL-GP
BSU02750-MONOMER	BSU02750	BSU02750	296429	297169	BSU02750	Na<sup>+</sup> ABC efflux transporter ATP-binding protein	
BSU17850-MONOMER	BSU17850	BSU17850	1917639	1918256	BSU17850	transcriptional repressor of the SOS regulon	
BSU09790-MONOMER	BSU09790	BSU09790	1053520	1054653	BSU09790	conserved hypothetical protein	CCI-PM-BAC-POS-GP
BSU30160-MONOMER	BSU30160	BSU30160	3085800	3087296	BSU30160	ABC transporter (binding lipoprotein for polygalacturonan and rhamnogalacturonan type I)	CCI-PM-BAC-POS-GP
BSU25480-MONOMER	BSU25480	BSU25480	2627971	2628534	BSU25480	nucleotide exchange factor for DnaK activity	CCI-CYTOSOL-GP
BSU22630-MONOMER	BSU22630	BSU22630	2371508	2372311	BSU22630	tryptophan synthase (alpha subunit)	CCI-CYTOSOL-GP
BSU00280-MONOMER	BSU00280	BSU00280	39159	39797	BSU00280	thymidylate kinase	CCI-CYTOSOL-GP
BSU20830-MONOMER	BSU20830	BSU20830	2208008	2208325	BSU20830	arbitirum-related regulatory protein; phage SPbeta	
CPLX8J2-128	BSU22460	BSU22460	2357078	2358211	BSU22460		
BSU27900-MONOMER	BSU27900	BSU27900	2851283	2852140	BSU27900	prephenate dehydratase	CCI-CYTOSOL-GP
BSU38570-MONOMER	BSU38570	BSU38570	3959841	3960173	BSU38570	phosphotransferase system (PTS) lichenan-specific enzyme IIA component	CCI-CYTOSOL-GP
CPLX8J2-68	BSU27460 // BSU27450 // BSU27440 // BSU27430		2804657	2805313	BSU27460 // BSU27450 // BSU27440 // BSU27430	putative L-glutamine ABC transporter	
CPLX8J2-173	BSU25100	BSU25100	2591428	2591865	BSU25100	transcriptional regulator Zur	
BSU19780-MONOMER	BSU19780	BSU19780	2148676	2149077	BSU19780	spore outermost layer crust component	
BSU15880-MONOMER	BSU15880	BSU15880	1661967	1662533	BSU15880	transcription factor controlling fatty acid and phospholipid metabolism (FapR-malonyl-Coa)	
BSU03910-MONOMER	BSU03910	BSU03910	442950	444338	BSU03910	succinate-semialdehyde dehydrogenase	CCI-CYTOSOL-GP
BSU33690-MONOMER	BSU33690	BSU33690	3458066	3459766	BSU33690	putative methyl-accepting transducer	CCI-PM-BAC-POS-GP
BSU19250-MONOMER	BSU19250	BSU19250	2097692	2098024	BSU19250	conserved protein of unknown function	
BSU05409-MONOMER	BSU05409	BSU05409	587333	587476	BSU05409	hypothetical protein	
BSU40450-MONOMER	BSU40450	BSU40450	4159005	4159205	BSU40450	general stress protein	
BSU09150-MONOMER	BSU09150	BSU09150	989022	989591	BSU09150	putative germination lipoprotein	CCI-PM-BAC-POS-GP
BSU14569-MONOMER	BSU14569	BSU14569	1526859	1527017	BSU14569	putative type I toxin (toxin I motif)	CCI-PM-BAC-POS-GP
BSU24130-MONOMER	BSU24130	BSU24130	2508221	2509639	BSU24130	2-methylcitrate dehydratase (promiscuous)	
BSU01290-MONOMER	BSU01290	BSU01290	141757	141942	BSU01290	ribosomal protein S14	CCI-RIBOSOME-GP
BSU01780-MONOMER	BSU01780	BSU01780	200277	202079	BSU01780	L-glutamine-D-fructose-6-phosphate aminotransferase	CCI-CYTOSOL-GP
BSU20760-MONOMER	BSU20760	BSU20760	2203111	2203308	BSU20760	hypothetical protein; phage SPbeta	
BSU28520-MONOMER	BSU28520	BSU28520	2915365	2916342	BSU28520	electron transfer flavoprotein (alpha subunit)	
BSU18100-MONOMER	BSU18100	BSU18100	1935448	1937868	BSU18100	subunit A of DNA topoisomerase IV (ATP-dependent)	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP
BSU21710-MONOMER	BSU21710	BSU21710	2288669	2290006	BSU21710	damage inducible, Na+ driven multidrug efflux pump	CCI-PM-BAC-POS-GP
BSU06230-MONOMER	BSU06230	BSU06230	676442	677863	BSU06230	major myo-inositol transporter	CCI-PM-BAC-POS-GP
CPLX8J2-193	BSU35370	BSU35370	3636046	3636270	BSU35370	carbon storage regulator	
BSU00070-MONOMER	BSU00070	BSU00070	6994	9459	BSU00070	DNA gyrase (subunit A)	CCI-CYTOSOL-GP
BSU24710-MONOMER	BSU24710	BSU24710	2557673	2557969	BSU24710	pilin-like component of the DNA transport membrane pilin platform	CCI-PILUS-GP // CCI-PM-BAC-POS-GP
BSU12671-MONOMER	BSU12671	BSU12671	1334339	1334785	BSU12671	phage PBSX; putative chaperone involved in phage tail assembly	
BSU29110-MONOMER	BSU29110	BSU29110	2977800	2978522	BSU29110	two-component response regulator (PhoP-PhoR)	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP
BSU18960-MONOMER	BSU18960	BSU18960	2065042	2065377	BSU18960	putative bacteriophage protein; putative defective prophage 6	
BSU35750-MONOMER	BSU35750	BSU35750	3681370	3682140	BSU35750	N-acetylmannosamine (ManNAc) C4 hydroxyl of a membrane-anchored N-acetylglucosaminyl diphospholipid (GlcNAc-pp-undecaprenyl, lipid I) glycosyltransferase	
BSU18890-MONOMER	BSU18890	BSU18890	2058715	2059638	BSU18890	conserved nucleotide-related metabolism protein	
BSU36160-MONOMER	BSU36160	BSU36160	3723454	3724335	BSU36160	putative transcriptional regulator (LysR family)	CCI-CYTOSOL-GP
BSU29010-MONOMER	BSU29010	BSU29010	2966413	2966793	BSU29010	S-adenosylmethionine decarboxylase	CCI-CYTOSOL-GP
BSU12340-MONOMER	BSU12340	BSU12340	1305486	1306565	BSU12340	D-mannonate dehydratase	
BSU35510-MONOMER	BSU35510	BSU35510	3646753	3647406	BSU35510	putative translation regulator	CCI-CYTOSOL-GP
BSU17170-MONOMER	BSU17170	BSU17170	1792012	1792761	BSU17170	decarboxylase branching enzyme involved in bacillaene synthesis	CCI-CYTOSOL-GP
BSU39750-MONOMER	BSU39750	BSU39750	4082030	4082845	BSU39750	5-deoxy-D-glucuronate isomerase	
BSU36590-MONOMER	BSU36590	BSU36590	3762664	3764112	BSU36590	cardiolipin synthase (major)	CCI-PM-BAC-POS-GP
BSU16180-MONOMER	BSU16180	BSU16180	1691278	1691667	BSU16180	flagellar component of cell-proximal portion of basal-body rod	CCO-CELL-PROJECTION
BSU01150-MONOMER	BSU01150	BSU01150	135364	135672	BSU01150	ribosomal protein S10 (BS13); transcription antitermination factor	CCI-RIBOSOME-GP
BSU40040-MONOMER	BSU40040	BSU40040	4112073	4113221	BSU40040	D-glycerate kinase	
BSU09860-MONOMER	BSU09860	BSU09860	1060427	1060924	BSU09860	K+/H+ antiporter for K+ efflux	CCI-PM-BAC-POS-GP
BSU20460-MONOMER	BSU20460	BSU20460	2189961	2190785	BSU20460	gamma-polyglutamate hydrolase; phage SPbeta	
CPLX-8668	BSU29590	BSU29590	3026957	3028102	BSU29590	cysteine desulfurase	
BSU14100-MONOMER	BSU14100	BSU14100	1484117	1484356	BSU14100	putative RNA-specific modification enzyme subunit	
BSU19400-MONOMER	BSU19400	BSU19400	2114742	2115332	BSU19400	inactive superoxide dismutase	CCI-EXTRACELLULAR-GP // CCI-PM-BAC-POS-GP
BSU35720-MONOMER	BSU35720	BSU35720	3676159	3678399	BSU35720	CDP-glycerol:polyglycerol phosphate glycero-phosphotransferase (poly(glycerol phosphate) polymerase)	CCI-PM-BAC-POS-GP
BSU08260-MONOMER	BSU08260	BSU08260	900080	901528	BSU08260	inositol transporter	CCI-PM-BAC-POS-GP
BSU18490-MONOMER	BSU18490	BSU18490	2017886	2018254	BSU18490	replication terminator protein	CCI-CYTOSOL-GP
BSU35530-MONOMER	BSU35530	BSU35530	3648654	3649730	BSU35530	UDP-N-acetylglucosamine:undecaprenyl-P N-acetylglucosaminyl-1-P transferase	CCI-PM-BAC-POS-GP
BSU32920-MONOMER	BSU32920	BSU32920	3377893	3378780	BSU32920	transcriptional regulator of unknown specificity (LysR family)	
BSU40150-MONOMER	BSU40150	BSU40150	4124963	4125592	BSU40150	ABC transporter for regulatory peptide LiaD* (ATP-binding protein)	CCI-PM-BAC-POS-GP
BSU07600-MONOMER	BSU07600	BSU07600	833228	834187	BSU07600	putative tricarboxylate transporter component	
BSU23590-MONOMER	BSU23590	BSU23590	2456990	2457340	BSU23590	transcriptional regulator of ansAB (AnsR::asparagine)	CCI-CYTOSOL-GP
BSU08090-MONOMER	BSU08090	BSU08090	882266	883642	BSU08090	acetoin dehydrogenase E3 component (dihydrolipoamide dehydrogenase)	CCI-CYTOSOL-GP
BSU05300-MONOMER	BSU05300	BSU05300	576209	576802	BSU05300	putative NAD(P)H oxidoreductase involved in regulating potassium efflux	
BSU22660-MONOMER	BSU22660	BSU22660	2374139	2374888	BSU22660	inactive indole-3-glycerol phosphate synthase	
BSU21660-MONOMER	BSU21660	BSU21660	2284771	2286408	BSU21660	serine-type phage integrase; phage SPbeta	
BSU18460-MONOMER	BSU18460	BSU18460	2014779	2015681	BSU18460	transcriptional regulator (LysR family) (GltC-glutamate)	
BSU26660-MONOMER	BSU26660	BSU26660	2725114	2725503	BSU26660	malonate semialdehyde decarboxylase; 2-oxo-pentynoate hydratase	CCI-CYTOSOL-GP
BSU35640-MONOMER	BSU35640	BSU35640	3662789	3663097	BSU35640	membrane bound lipoprotein	CCI-PM-BAC-POS-GP
BSU04280-MONOMER	BSU04280	BSU04280	480013	480864	BSU04280	cyclic-di-GMP receptor	CCI-PM-BAC-POS-GP
BSU28150-MONOMER	BSU28150	BSU28150	2875951	2876895	BSU28150	porphobilinogen deaminase (hydroxymethylbilane synthase)	CCI-CYTOSOL-GP
BSU22169-MONOMER	BSU22169	BSU22169	2329870	2330022	BSU22169	spore protein of unknown function	
BSU27620-MONOMER	BSU27620	BSU27620	2823419	2825779	BSU27620	single-strand DNA-specific exonuclease	
BSU02050-MONOMER	BSU02050	BSU02050	225064	226248	BSU02050	putative phage protein; prophage region 1	
BSU28080-MONOMER	BSU28080	BSU28080	2865312	2866604	BSU28080	folyl-polyglutamate synthase	CCI-CYTOSOL-GP
BSU38190-MONOMER	BSU38190	BSU38190	3919093	3920634	BSU38190	galactose-1-phosphate uridyltransferase	CCI-CYTOSOL-GP
BSU20980-MONOMER	BSU20980	BSU20980	2217967	2219199	BSU20980	putative nucleic acid binding protein; phage SPbeta	
BSU_32539-MONOMER	BSU_32539	BSU_32539	3343894	3344031	BSU_32539	hypothetical protein	
BSU09930-MONOMER	BSU09930	BSU09930	1069042	1069986	BSU09930	end-trimming 3'-5' exonuclease	CCI-CYTOSOL-GP
BSU15890-MONOMER	BSU15890	BSU15890	1662547	1663548	BSU15890	phosphate:acyl-ACP acyltransferase	CCI-CYTOSOL-GP
CPLX8J2-94	BSU33050 // BSU33060 // BSU33070		3390782	3392230	BSU33050 // BSU33060 // BSU33070	GerA germination receptor	
BSU32830-MONOMER	BSU32830	BSU32830	3368839	3370014	BSU32830	3-ketoacyl-CoA thiolase	CCI-CYTOSOL-GP
BSU01950-MONOMER	BSU01950	BSU01950	216913	217632	BSU01950	sporulation killing factor efflux transporter, ATP-binding protein SkfE	CCI-PM-BAC-POS-GP
BSU07110-MONOMER	BSU07110	BSU07110	781092	782048	BSU07110	putative ABC transporter membrane subunit LplB	CCI-PM-BAC-POS-GP
BSU23180-MONOMER	BSU23180	BSU23180	2422805	2423395	BSU23180	spore maturation protein (present in non sporulating organisms)	CCI-PM-BAC-POS-GP
BSU26900-MONOMER	BSU26900	BSU26900	2749260	2749523	BSU26900	putative spore-related function	
CPLX8J2-246	BSU30170 // BSU30160 // BSU30135		3087321	3088181	BSU30170 // BSU30160 // BSU30135	putative rhamnogalacturonan ABC transporter	
CPLX8J2-307	BSU13500	BSU13500	1416067	1417416	BSU13500	K<sup>+</sup> transporter family protein KtrD dimer	
CPLX8J2-116	BSU03981 // BSU03982		449724	451160	BSU03981 // BSU03982	phosphotransferase system (PTS) mannitol-specific	
BSU39830-MONOMER	BSU39830	BSU39830	4091477	4091728	BSU39830	conserved protein of unknown function	CCI-PM-BAC-POS-GP
BSU28860-MONOMER	BSU28860	BSU28860	2952615	2952815	BSU28860	ribosomal protein L35	CCI-RIBOSOME-GP
BSU20860-MONOMER	BSU20860	BSU20860	2208994	2210154	BSU20860	arbitrium peptide sensor regulator; phage SPbeta	
BSU07500-MONOMER	BSU07500	BSU07500	823716	824717	BSU07500	ferric citrate ABC transporter membrane subunit YfmE	CCI-PM-BAC-POS-GP
BSU34250-MONOMER	BSU34250	BSU34250	3516880	3517488	BSU34250	UDP-<i>N,N'</i>-diacetylbacillosamine&mdash;undecaprenyl-phosphate <i>N,N'</i>-diacetylbacillosaminephosphotransferase	CCI-PM-BAC-POS-GP
BSU39290-MONOMER	BSU39290	BSU39290	4036344	4036787	BSU39290	antitoxin factor of the RtxD-AtxD type II toxin-antitoxin system	CCI-CYTOSOL-GP
BSU13190-MONOMER	BSU13190	BSU13190	1386024	1386983	BSU13190	intracellular serine protease	CCI-CYTOSOL-GP
BSU22730-MONOMER	BSU22730	BSU22730	2381354	2381803	BSU22730	nucleoside diphosphate kinase	CCI-CYTOSOL-GP
BSU15620-MONOMER	BSU15620	BSU15620	1634837	1635622	BSU15620	sirohydrochlorin ferrochelatase	
BSU08120-MONOMER	BSU08120	BSU08120	885844	886173	BSU08120	putative membrane protein	CCI-PM-BAC-POS-GP
BSU17900-MONOMER	BSU17900	BSU17900	1922017	1922463	BSU17900	factor controlling DNA replication; inhibitor of DNA replication initiation in cells committed to sporulation	CCI-CYTOSOL-GP
CPLX8J2-178	BSU04650 // BSU04660		518657	518938	BSU04650 // BSU04660	MazF-MazE toxin-antitoxin complex	
BSU13789-MONOMER	BSU13789	BSU13789	1445314	1445541	BSU13789	putative peptidoglycan binding sporulation protein	
MONOMER8J2-17	BSU40410	BSU40410	4153696	4154403	BSU40410	WalR two-component response regulator, phosphorylated	CCI-CYTOSOL-GP
BSU03630-MONOMER	BSU03630	BSU03630	412540	413154	BSU03630	flavin prenyltransferase subunit	CCI-PM-BAC-POS-GP
BSU27640-MONOMER	BSU27640	BSU27640	2826245	2826742	BSU27640	putative potassium transport accessory component	
BSU02890-MONOMER	BSU02890	BSU02890	312159	312758	BSU02890	metal stress adaptation protein (tellurite, manganese resistance)	CCI-CYTOSOL-GP
BSU34430-MONOMER	BSU34430	BSU34430	3533419	3534102	BSU34430	promiscuous aminoacid racemase (prefers arginine, lysine and ornithine)	
BSU05910-MONOMER	BSU05910	BSU05910	641654	642130	BSU05910	N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaE subunit	CCI-CYTOSOL-GP
BSU20370-MONOMER	BSU20370	BSU20370	2182408	2183922	BSU20370	putative replicative DNA helicase (DnaB family); phage SPbeta	CCI-CYTOSOL-GP
BSU25120-MONOMER	BSU25120	BSU25120	2593000	2593254	BSU25120	conserved protein of unknown function	
